id,tekst,vid,WoordVan,WoordTot,WoordVan_v,WoordTot_v
1,K/Q,6005001,37,38,37,38
2,K/Q,6004018,3,4,3,4
3,K/Q,6003016,15,16,15,16
4,K/Q,6003004,6,8,6,8
5,K/Q,6002013,16,17,16,17
6,K/Q,5033009,21,22,21,22
7,K/Q,5033002,25,25,25,26
8,K/Q,5032013,4,4,4,4
9,K/Q,5029022,26,27,26,27
10,K/Q,5028030,6,7,6,7
11,K/Q,5028027,7,10,7,10
12,K/Q,5027010,11,12,11,12
13,K/Q,5022029,11,12,11,12
14,K/Q,5022028,4,4,4,4
15,K/Q,5022027,8,9,8,9
16,K/Q,5022026,9,11,9,11
17,K/Q,5022026,1,4,1,4
18,K/Q,5022025,10,11,10,11
19,K/Q,5022024,22,23,22,23
20,K/Q,5022023,3,3,3,3
21,K/Q,5022021,4,5,4,5
22,K/Q,5022020,12,14,12,14
23,K/Q,5022016,4,5,4,5
24,K/Q,5022015,13,14,13,14
25,K/Q,5022015,4,5,4,5
26,K/Q,5021007,8,8,8,8
27,K/Q,5013016,7,8,7,8
28,K/Q,5008002,34,35,34,35
29,K/Q,5007009,26,27,26,27
30,K/Q,5005010,12,13,12,13
31,K/Q,5002033,16,17,16,17
32,K/Q,4034004,15,16,14,15
33,K/Q,4032007,3,3,3,3
34,K/Q,4026009,13,13,13,13
35,K/Q,4023013,6,6,6,6
36,K/Q,4021032,12,13,12,13
37,K/Q,4016011,16,16,16,16
38,K/Q,4014036,14,15,14,15
39,K/Q,4012003,5,5,5,5
40,K/Q,4001016,2,2,2,2
41,K/Q,3025030,20,20,20,21
42,K/Q,3023013,16,18,16,18
43,K/Q,3021005,2,2,2,2
44,K/Q,3016021,6,7,6,7
45,K/Q,3011021,15,15,15,16
46,K/Q,3009022,5,6,5,6
47,K/Q,2039033,20,21,20,21
48,K/Q,2039004,8,9,8,9
49,K/Q,2037008,23,24,23,24
50,K/Q,2035011,19,20,19,20
51,K/Q,2032019,22,24,22,24
52,K/Q,2032017,8,10,8,10
53,K/Q,2028028,6,8,6,8
54,K/Q,2027011,12,14,12,14
55,K/Q,2022026,3,4,3,4
56,K/Q,2022004,10,11,10,11
57,K/Q,2021008,8,8,8,9
58,K/Q,2016007,20,20,20,20
59,K/Q,2016002,1,2,1,2
60,K/Q,2004002,6,7,6,7
61,K/Q,1049011,24,25,24,25
62,K/Q,1049011,5,6,5,6
63,K/Q,1049010,15,15,15,15
64,K/Q,1043028,15,16,15,16
65,K/Q,1039020,16,16,16,16
66,K/Q,1036014,17,17,17,17
67,K/Q,1036005,5,5,5,5
68,K/Q,1035021,6,7,6,7
69,K/Q,1033004,13,14,13,14
70,K/Q,1030011,4,5,4,5
71,K/Q,1027029,4,5,4,5
72,K/Q,1027003,20,20,20,20
73,K/Q,1025023,7,7,7,7
74,K/Q,1024033,1,2,1,2
75,K/Q,1014008,13,13,13,13
76,K/Q,1014002,18,18,18,18
77,K/Q,1013003,18,19,17,18
78,K/Q,1012008,14,15,13,14
79,K/Q,1009021,12,13,12,13
80,K/Q,1008017,27,27,27,27
81,K/Q,6006005,9,11,9,11
82,K/Q,6006007,1,2,1,2
83,K/Q,6006009,9,9,9,9
84,K/Q,6006013,35,35,35,35
85,K/Q,6007021,1,2,1,2
86,K/Q,6008011,28,29,28,29
87,K/Q,6008016,7,9,7,9
88,K/Q,6009007,1,2,1,2
89,K/Q,6009007,16,16,16,16
90,K/Q,6015004,8,9,8,9
91,K/Q,6015047,19,20,19,20
92,K/Q,6015053,1,2,1,2
93,K/Q,6015063,8,8,8,8
94,K/Q,6016003,18,19,17,18
95,K/Q,6018012,28,29,28,29
96,K/Q,6018014,20,21,19,20
97,K/Q,6018019,10,13,9,11
98,K/Q,6018024,3,4,3,4
99,K/Q,6019022,7,8,7,8
100,K/Q,6019029,17,18,17,18
101,K/Q,6020008,31,31,31,31
102,K/Q,6021027,19,19,19,19
103,K/Q,6022007,21,22,21,22
104,K/Q,6024003,20,21,20,21
105,K/Q,6024008,1,2,1,2
106,K/Q,6024015,27,28,27,28
107,K/Q,7001027,21,21,20,20
108,K/Q,7004011,19,20,19,20
109,K/Q,7006005,10,10,10,11
110,K/Q,7007013,19,19,19,19
111,K/Q,7007021,17,18,17,18
112,K/Q,7009008,15,15,15,15
113,K/Q,7009012,10,10,10,10
114,K/Q,7011037,31,33,31,33
115,K/Q,7013017,12,13,12,13
116,K/Q,7016018,26,27,26,27
117,K/Q,7016021,26,27,26,27
118,K/Q,7016025,3,4,3,4
119,K/Q,7016025,22,23,22,23
120,K/Q,7016026,15,17,15,17
121,K/Q,7017002,15,16,15,16
122,K/Q,7019003,14,16,14,16
123,K/Q,7019013,6,6,6,6
124,K/Q,7019021,7,8,7,8
125,K/Q,7019025,40,41,40,41
126,K/Q,7020013,24,25,24,24
127,K/Q,7021020,1,2,1,2
128,K/Q,7021022,10,11,10,11
129,K/Q,8001008,15,15,15,15
130,K/Q,8002001,4,4,4,4
131,K/Q,8003003,7,8,7,8
132,K/Q,8003003,11,12,11,12
133,K/Q,8003004,20,21,20,21
134,K/Q,8003012,5,6,5,5
135,K/Q,8003014,3,4,3,4
136,K/Q,8003014,10,11,10,11
137,K/Q,8004004,28,29,28,29
138,K/Q,8004005,22,22,22,22
139,K/Q,8004006,7,8,7,8
140,K/Q,9002003,15,16,15,17
141,K/Q,9002009,2,3,2,3
142,K/Q,9002010,3,6,3,6
143,K/Q,9002016,25,26,25,25
144,K/Q,9003002,14,16,14,16
145,K/Q,9003018,21,23,21,23
146,K/Q,9004013,10,10,10,10
147,K/Q,9005006,15,17,15,17
148,K/Q,9005009,32,32,32,32
149,K/Q,9005012,8,10,8,10
150,K/Q,9006004,16,16,16,16
151,K/Q,9006005,4,5,4,5
152,K/Q,9007009,7,8,7,9
153,K/Q,9008003,6,8,6,8
154,K/Q,9009001,4,6,4,5
155,K/Q,9009026,14,15,14,15
156,K/Q,9010007,4,4,4,4
157,K/Q,9010021,6,8,6,8
158,K/Q,9011006,7,9,7,9
159,K/Q,9011009,19,20,19,20
160,K/Q,9012010,5,6,5,6
161,K/Q,9013008,1,2,1,2
162,K/Q,9013019,10,10,10,10
163,K/Q,9014027,37,38,37,38
164,K/Q,9014032,1,2,1,2
165,K/Q,9014032,6,6,6,7
166,K/Q,9015016,19,20,19,20
167,K/Q,9017007,1,2,1,2
168,K/Q,9017023,19,20,19,20
169,K/Q,9018001,17,18,17,19
170,K/Q,9018006,22,23,22,23
171,K/Q,9018007,11,13,11,13
172,K/Q,9018009,4,4,4,4
173,K/Q,9018014,6,7,6,7
174,K/Q,9018022,5,6,5,6
175,K/Q,9019018,30,31,30,31
176,K/Q,9019019,9,10,9,10
177,K/Q,9019022,28,29,28,29
178,K/Q,9019023,5,5,5,5
179,K/Q,9019023,25,26,25,26
180,K/Q,9020001,4,5,4,5
181,K/Q,9020002,9,11,9,10
182,K/Q,9020024,15,15,15,15
183,K/Q,9020038,16,17,16,17
184,K/Q,9021012,26,28,26,28
185,K/Q,9021012,31,33,31,33
186,K/Q,9021014,15,16,15,16
187,K/Q,9022013,3,4,3,4
188,K/Q,9022015,4,5,4,5
189,K/Q,9022017,33,34,33,34
190,K/Q,9022018,5,6,5,6
191,K/Q,9022018,16,16,16,16
192,K/Q,9022022,14,14,14,14
193,K/Q,9023005,4,6,4,6
194,K/Q,9024005,19,20,19,20
195,K/Q,9024009,8,10,8,10
196,K/Q,9024019,1,2,1,2
197,K/Q,9025003,28,30,28,28
198,K/Q,9025018,3,3,3,3
199,K/Q,9025018,15,15,15,15
200,K/Q,9025034,17,18,17,18
201,K/Q,9026005,40,41,40,41
202,K/Q,9026007,25,26,25,26
203,K/Q,9026007,33,34,33,34
204,K/Q,9026011,21,22,21,22
205,K/Q,9026016,37,38,37,38
206,K/Q,9026022,7,8,7,7
207,K/Q,9027004,11,11,11,11
208,K/Q,9027008,12,14,12,14
209,K/Q,9028008,24,24,24,24
210,K/Q,9029005,21,23,21,23
211,K/Q,9030006,21,22,21,22
212,K/Q,10001008,7,8,7,8
213,K/Q,10001011,4,6,4,6
214,K/Q,10001016,6,7,6,7
215,K/Q,10002023,28,29,28,29
216,K/Q,10003002,1,2,1,2
217,K/Q,10003003,5,6,5,6
218,K/Q,10003012,7,8,7,8
219,K/Q,10003015,15,15,14,14
220,K/Q,10003025,19,20,19,20
221,K/Q,10005002,12,16,12,17
222,K/Q,10005008,25,25,25,25
223,K/Q,10005024,3,5,3,5
224,K/Q,10010009,21,22,21,21
225,K/Q,10011024,1,4,1,4
226,K/Q,10012009,10,12,10,12
227,K/Q,10012020,13,14,13,14
228,K/Q,10012022,15,16,15,17
229,K/Q,10012024,20,21,19,20
230,K/Q,10012031,28,30,28,30
231,K/Q,10013008,16,17,16,17
232,K/Q,10013034,11,12,11,12
233,K/Q,10013037,9,9,9,9
234,K/Q,10014007,41,41,41,41
235,K/Q,10014011,11,12,11,12
236,K/Q,10014022,39,40,39,40
237,K/Q,10014030,18,20,18,20
238,K/Q,10015008,16,16,16,16
239,K/Q,10015020,7,8,7,8
240,K/Q,10015028,4,5,4,5
241,K/Q,10016002,22,25,22,24
242,K/Q,10016008,11,12,11,12
243,K/Q,10016010,13,13,13,13
244,K/Q,10016010,15,16,15,15
245,K/Q,10016012,4,6,4,6
246,K/Q,10016018,20,20,20,21
247,K/Q,10017012,5,6,5,6
248,K/Q,10018003,41,42,41,42
249,K/Q,10018008,6,6,6,6
250,K/Q,10018012,7,8,7,8
251,K/Q,10018013,3,5,3,5
252,K/Q,10018017,30,32,30,32
253,K/Q,10018018,8,10,8,10
254,K/Q,10018020,27,28,27,28
255,K/Q,10019007,28,28,28,28
256,K/Q,10019019,16,18,16,18
257,K/Q,10019032,19,20,19,20
258,K/Q,10019041,16,17,16,16
259,K/Q,10020005,8,9,8,9
260,K/Q,10020008,23,25,23,25
261,K/Q,10020014,15,16,15,16
262,K/Q,10020023,13,14,13,14
263,K/Q,10020025,1,2,1,2
264,K/Q,10021004,8,9,8,9
265,K/Q,10021006,1,1,1,1
266,K/Q,10021009,19,19,19,20
267,K/Q,10021009,21,22,22,23
268,K/Q,10021009,30,30,31,32
269,K/Q,10021012,29,33,28,31
270,K/Q,10021016,1,2,1,2
271,K/Q,10021020,10,10,10,10
272,K/Q,10021021,10,10,10,10
273,K/Q,10022008,1,2,1,2
274,K/Q,10022015,8,10,8,9
275,K/Q,10022023,3,4,3,4
276,K/Q,10022033,9,10,9,10
277,K/Q,10022034,2,3,2,3
278,K/Q,10022051,1,1,1,1
279,K/Q,10023008,18,20,18,19
280,K/Q,10023008,27,27,26,26
281,K/Q,10023009,1,3,1,3
282,K/Q,10023009,6,6,6,6
283,K/Q,10023009,11,11,11,12
284,K/Q,10023013,3,3,3,3
285,K/Q,10023018,9,10,9,10
286,K/Q,10023020,7,7,7,7
287,K/Q,10023020,24,25,24,25
288,K/Q,10023021,7,7,7,7
289,K/Q,10023035,1,1,1,1
290,K/Q,10023037,7,7,7,7
291,K/Q,10024014,17,18,17,18
292,K/Q,10024016,38,39,38,39
293,K/Q,10024018,22,22,22,22
294,K/Q,10024022,15,17,15,17
295,K/Q,11001027,17,18,17,18
296,K/Q,11001037,11,11,11,11
297,K/Q,11001047,18,19,18,18
298,K/Q,11002024,8,10,8,10
299,K/Q,11004007,25,25,25,26
300,K/Q,11005017,32,33,32,33
301,K/Q,11006005,7,7,7,7
302,K/Q,11006006,1,2,1,2
303,K/Q,11006010,4,5,4,5
304,K/Q,11006016,6,7,6,7
305,K/Q,11006021,13,14,13,14
306,K/Q,11006038,26,27,26,27
307,K/Q,11007020,18,18,18,19
308,K/Q,11007023,26,27,26,27
309,K/Q,11007036,10,12,10,11
310,K/Q,11007045,18,19,18,19
311,K/Q,11008026,7,8,7,8
312,K/Q,11008048,42,42,42,42
313,K/Q,11009009,23,24,23,24
314,K/Q,11009018,6,6,6,6
315,K/Q,11010005,11,12,11,12
316,K/Q,11012003,7,8,7,8
317,K/Q,11012007,1,2,1,2
318,K/Q,11012012,1,2,1,2
319,K/Q,11012021,1,2,1,2
320,K/Q,11012033,25,27,24,26
321,K/Q,11014002,15,15,15,15
322,K/Q,11014025,13,13,13,13
323,K/Q,11015015,7,9,7,8
324,K/Q,11015018,21,21,21,22
325,K/Q,11016019,2,3,2,3
326,K/Q,11016026,9,12,9,12
327,K/Q,11016034,17,19,17,19
328,K/Q,11017014,20,20,20,20
329,K/Q,11017015,10,12,10,12
330,K/Q,11018036,32,35,32,35
331,K/Q,11018042,24,25,24,25
332,K/Q,11019004,15,15,15,15
333,K/Q,11020041,8,9,8,9
334,K/Q,11021008,14,15,14,14
335,K/Q,11021021,3,3,3,3
336,K/Q,11021029,17,17,17,17
337,K/Q,11022013,27,28,27,28
338,K/Q,11022049,2,2,2,2
339,K/Q,11022049,15,15,15,15
340,K/Q,12002016,37,38,37,38
341,K/Q,12003024,18,19,18,19
342,K/Q,12004002,15,16,15,16
343,K/Q,12004003,14,15,14,15
344,K/Q,12004005,22,22,22,22
345,K/Q,12004007,19,20,19,20
346,K/Q,12004007,23,24,23,25
347,K/Q,12004016,12,12,12,12
348,K/Q,12004023,4,5,4,5
349,K/Q,12004034,25,26,25,26
350,K/Q,12005009,4,6,4,6
351,K/Q,12005012,4,4,4,4
352,K/Q,12005018,35,36,35,35
353,K/Q,12005025,14,15,14,15
354,K/Q,12006010,15,17,15,17
355,K/Q,12006025,23,23,23,23
356,K/Q,12007012,32,34,32,34
357,K/Q,12007013,26,27,26,26
358,K/Q,12007015,20,22,20,22
359,K/Q,12008001,17,17,17,17
360,K/Q,12008010,8,8,8,9
361,K/Q,12008017,12,12,12,12
362,K/Q,12009015,39,40,39,40
363,K/Q,12009025,5,5,5,6
364,K/Q,12009033,3,4,3,4
365,K/Q,12009037,1,2,1,2
366,K/Q,12010027,16,17,16,17
367,K/Q,12011001,5,6,5,5
368,K/Q,12011002,23,24,23,24
369,K/Q,12011004,13,14,13,14
370,K/Q,12011009,4,5,4,5
371,K/Q,12011010,7,8,7,8
372,K/Q,12011015,8,9,8,9
373,K/Q,12011018,14,15,14,15
374,K/Q,12011020,19,19,19,20
375,K/Q,12012010,21,22,21,22
376,K/Q,12012012,9,9,9,9
377,K/Q,12012012,13,14,13,14
378,K/Q,12013006,9,9,9,9
379,K/Q,12014002,22,22,22,22
380,K/Q,12014006,37,37,37,37
381,K/Q,12014007,7,7,7,7
382,K/Q,12014012,10,12,10,12
383,K/Q,12014013,17,18,16,17
384,K/Q,12015025,18,18,18,19
385,K/Q,12016006,21,22,21,22
386,K/Q,12016015,1,3,1,2
387,K/Q,12016017,16,17,16,16
388,K/Q,12016018,3,3,3,3
389,K/Q,12017013,12,13,12,12
390,K/Q,12017016,14,14,14,14
391,K/Q,12017021,14,15,14,15
392,K/Q,12017031,23,24,23,24
393,K/Q,12018027,38,39,37,38
394,K/Q,12018027,44,45,43,45
395,K/Q,12019023,9,10,9,10
396,K/Q,12019023,30,31,30,31
397,K/Q,12020004,6,7,6,6
398,K/Q,12020013,12,13,12,13
399,K/Q,12020018,11,11,11,11
400,K/Q,12021012,17,18,17,18
401,K/Q,12022005,1,3,1,3
402,K/Q,12022005,11,12,11,11
403,K/Q,12023010,9,9,9,9
404,K/Q,12023033,11,12,11,12
405,K/Q,12023036,21,21,21,21
406,K/Q,12024010,6,6,6,6
407,K/Q,12024014,17,17,17,17
408,K/Q,12024015,22,22,22,22
409,K/Q,12024018,21,21,21,21
410,K/Q,12025017,19,19,19,19
411,K/Q,13001011,5,5,5,5
412,K/Q,13001046,22,22,22,22
413,K/Q,13001051,11,11,11,11
414,K/Q,13002016,1,3,1,3
415,K/Q,13002055,4,4,4,4
416,K/Q,13003024,4,4,4,4
417,K/Q,13004007,5,5,5,6
418,K/Q,13004020,9,10,8,9
419,K/Q,13004041,20,21,20,21
420,K/Q,13006011,2,3,2,2
421,K/Q,13006020,2,2,2,2
422,K/Q,13007001,8,8,8,8
423,K/Q,13007010,8,8,8,8
424,K/Q,13007031,9,9,9,9
425,K/Q,13007034,5,7,5,8
426,K/Q,13008025,3,4,3,4
427,K/Q,13009004,9,10,9,10
428,K/Q,13009033,13,13,13,13
429,K/Q,13009035,7,7,7,7
430,K/Q,13011011,13,14,13,14
431,K/Q,13011017,1,2,1,2
432,K/Q,13011020,20,21,20,22
433,K/Q,13011044,5,6,5,6
434,K/Q,13012003,11,12,11,12
435,K/Q,13012006,10,11,10,11
436,K/Q,13012016,18,19,18,19
437,K/Q,13012019,7,8,7,8
438,K/Q,13014001,3,3,3,3
439,K/Q,13014010,11,11,11,11
440,K/Q,13015024,17,17,17,17
441,K/Q,13018010,11,12,11,12
442,K/Q,13020005,11,11,11,11
443,K/Q,13022007,6,7,6,7
444,K/Q,13023009,3,3,3,3
445,K/Q,13024024,7,7,7,7
446,K/Q,13025001,17,18,17,18
447,K/Q,13026025,21,22,21,22
448,K/Q,13027012,11,13,11,14
449,K/Q,13027029,10,10,10,10
450,K/Q,13029016,23,23,23,23
451,K/Q,14003017,21,22,21,22
452,K/Q,14004011,17,17,17,17
453,K/Q,14005012,45,45,45,45
454,K/Q,14005013,5,7,5,7
455,K/Q,14007006,38,38,38,38
456,K/Q,14008010,4,5,4,5
457,K/Q,14008018,10,10,10,10
458,K/Q,14009010,4,4,4,4
459,K/Q,14009029,28,28,28,28
460,K/Q,14011018,9,9,9,9
461,K/Q,14013014,20,20,20,20
462,K/Q,14013019,27,27,26,26
463,K/Q,14017008,13,14,13,14
464,K/Q,14018008,11,11,11,11
465,K/Q,14018033,28,29,28,29
466,K/Q,14024025,11,12,11,12
467,K/Q,14024027,4,5,4,4
468,K/Q,14025017,18,18,18,18
469,K/Q,14026003,21,21,21,21
470,K/Q,14026007,10,11,10,11
471,K/Q,14026011,18,18,18,18
472,K/Q,14026021,14,15,14,15
473,K/Q,14029008,12,13,12,13
474,K/Q,14029013,6,7,6,7
475,K/Q,14029014,5,5,5,5
476,K/Q,14029028,13,13,13,13
477,K/Q,14031012,18,18,18,18
478,K/Q,14031013,24,24,24,24
479,K/Q,14032021,31,34,31,33
480,K/Q,14033016,1,2,1,2
481,K/Q,14034005,6,6,6,7
482,K/Q,14034006,12,15,12,14
483,K/Q,14034009,41,42,41,42
484,K/Q,14034022,15,15,15,15
485,K/Q,14034025,5,6,5,6
486,K/Q,14035003,6,7,6,7
487,K/Q,14035004,1,2,1,2
488,K/Q,14035009,1,2,1,2
489,K/Q,14036014,10,11,10,11
490,K/Q,14036017,7,7,7,7
491,K/Q,15002001,14,14,14,14
492,K/Q,15002046,4,4,4,4
493,K/Q,15002050,4,4,4,4
494,K/Q,15002050,6,6,6,6
495,K/Q,15003003,17,18,17,18
496,K/Q,15004002,24,25,24,26
497,K/Q,15004004,10,11,10,11
498,K/Q,15004007,11,12,11,12
499,K/Q,15004007,14,14,14,14
500,K/Q,15004009,17,17,17,17
501,K/Q,15004009,20,21,20,20
502,K/Q,15004011,11,12,11,12
503,K/Q,15004012,19,20,19,20
504,K/Q,15004012,22,24,22,24
505,K/Q,15004023,7,7,7,7
506,K/Q,15005001,4,4,4,4
507,K/Q,15005001,9,9,9,9
508,K/Q,15005002,23,23,23,23
509,K/Q,15005012,17,17,17,17
510,K/Q,15005015,5,5,5,5
511,K/Q,15006014,10,10,10,10
512,K/Q,15006017,18,19,18,19
513,K/Q,15007018,4,5,4,5
514,K/Q,15007018,8,9,8,9
515,K/Q,15007025,18,18,18,18
516,K/Q,15007026,25,26,25,26
517,K/Q,15008014,6,7,6,7
518,K/Q,15008017,1,2,1,2
519,K/Q,15008017,25,26,25,26
520,K/Q,15008025,1,2,1,2
521,K/Q,15010002,8,8,8,8
522,K/Q,15010012,11,13,11,13
523,K/Q,15010029,12,12,12,13
524,K/Q,15010035,3,3,3,3
525,K/Q,15010037,3,4,3,4
526,K/Q,15010043,8,8,8,8
527,K/Q,15010044,3,3,3,3
528,K/Q,16001001,9,9,9,9
529,K/Q,16001009,25,27,25,27
530,K/Q,16002013,25,26,24,25
531,K/Q,16003015,21,22,20,21
532,K/Q,16003020,7,7,7,7
533,K/Q,16003030,1,2,1,2
534,K/Q,16003031,1,2,1,2
535,K/Q,16004007,13,15,13,15
536,K/Q,16004009,19,20,19,20
537,K/Q,16005009,1,2,1,2
538,K/Q,16007003,1,2,1,2
539,K/Q,16007052,6,6,6,6
540,K/Q,16009006,7,7,7,7
541,K/Q,16009017,41,42,41,41
542,K/Q,16010020,3,3,3,3
543,K/Q,16011017,29,29,29,29
544,K/Q,16012009,3,4,3,4
545,K/Q,16012014,1,2,1,2
546,K/Q,16012016,1,2,1,2
547,K/Q,16012046,9,9,9,9
548,K/Q,16013023,13,14,13,14
549,K/Q,17001016,3,3,3,3
550,K/Q,17003004,3,5,3,5
551,K/Q,17004004,1,2,1,2
552,K/Q,17004007,25,27,25,27
553,K/Q,17008001,18,19,18,19
554,K/Q,17008007,33,35,33,35
555,K/Q,17008013,20,22,20,22
556,K/Q,17009015,3,4,3,4
557,K/Q,17009018,1,3,1,3
558,K/Q,17009019,5,6,5,6
559,K/Q,17009027,2,3,2,3
560,K/Q,17010001,5,5,5,5
561,K/Q,18001004,18,19,18,19
562,K/Q,18001010,3,3,3,3
563,K/Q,18001021,4,4,4,4
564,K/Q,18002007,20,20,20,21
565,K/Q,18005018,7,9,7,9
566,K/Q,18006002,6,8,6,8
567,K/Q,18006021,4,4,4,5
568,K/Q,18006029,6,7,6,7
569,K/Q,18007001,6,6,6,6
570,K/Q,18007005,5,6,5,6
571,K/Q,18009013,6,7,6,7
572,K/Q,18009030,3,3,3,4
573,K/Q,18010020,6,7,6,9
574,K/Q,18013015,4,4,4,5
575,K/Q,18014005,10,11,10,11
576,K/Q,18015015,2,4,2,4
577,K/Q,18015022,6,7,6,7
578,K/Q,18015031,3,5,3,5
579,K/Q,18016016,3,3,3,3
580,K/Q,18019029,13,14,13,14
581,K/Q,18020011,4,5,4,5
582,K/Q,18021013,1,1,1,1
583,K/Q,18021020,2,3,2,3
584,K/Q,18024001,7,9,7,9
585,K/Q,18024006,6,6,6,6
586,K/Q,18026012,7,10,7,10
587,K/Q,18026014,4,5,4,5
588,K/Q,18026014,15,16,15,16
589,K/Q,18027015,1,2,1,2
590,K/Q,18030011,2,3,2,3
591,K/Q,18030022,10,10,10,10
592,K/Q,18031011,2,2,2,2
593,K/Q,18031011,4,5,4,5
594,K/Q,18031020,5,6,5,6
595,K/Q,18033019,8,9,8,9
596,K/Q,18033021,6,7,6,7
597,K/Q,18033028,2,3,2,3
598,K/Q,18033028,9,11,9,11
599,K/Q,18037012,5,7,5,7
600,K/Q,18038001,6,8,6,8
601,K/Q,18038012,7,8,7,9
602,K/Q,18038041,9,10,9,10
603,K/Q,18039012,6,6,6,6
604,K/Q,18039026,8,9,8,9
605,K/Q,18039030,1,3,1,3
606,K/Q,18040006,6,7,6,7
607,K/Q,18040017,7,8,7,8
608,K/Q,18041004,1,1,1,2
609,K/Q,18042002,1,1,1,1
610,K/Q,18042010,5,5,5,5
611,K/Q,18042011,10,11,10,11
612,K/Q,18042016,10,11,10,11
613,K/Q,19005009,10,10,10,10
614,K/Q,19006004,6,7,6,7
615,K/Q,19009013,10,10,10,10
616,K/Q,19009019,8,8,8,8
617,K/Q,19010005,2,3,2,3
618,K/Q,19010010,1,2,1,1
619,K/Q,19010010,9,9,8,9
620,K/Q,19010012,9,9,9,9
621,K/Q,19011001,14,14,14,14
622,K/Q,19017011,4,5,4,5
623,K/Q,19017014,15,17,15,17
624,K/Q,19018051,1,1,1,1
625,K/Q,19024006,3,4,3,4
626,K/Q,19026002,7,7,7,7
627,K/Q,19030004,9,10,9,11
628,K/Q,19038021,9,10,9,10
629,K/Q,19039001,4,5,4,5
630,K/Q,19041003,7,7,7,8
631,K/Q,19042009,10,11,10,11
632,K/Q,19049015,18,20,18,20
633,K/Q,19051004,1,1,1,1
634,K/Q,19054007,1,1,1,1
635,K/Q,19055016,1,1,1,2
636,K/Q,19056007,2,2,2,2
