parsT,pars,vv,aspect,tijd,toestand,vorm,modus,persoon,naamval,getal,geslacht,extra
V-APP-DPN,V-NNPP-DPN,V,A,N,N,P,P,,D,P,N,
V-APP-DSF,V-NNPP-DSF,V,A,N,N,P,P,,D,S,F,
V-APP-DSM,V-NNPP-DSM,V,A,N,N,P,P,,D,S,M,
V-APP-GPF,V-NNPP-GPF,V,A,N,N,P,P,,G,P,F,
V-APP-GPM,V-NNPP-GPM,V,A,N,N,P,P,,G,P,M,
V-APP-GPN,V-NNPP-GPN,V,A,N,N,P,P,,G,P,N,
V-APP-GSF,V-NNPP-GSF,V,A,N,N,P,P,,G,S,F,
V-APP-GSM,V-NNPP-GSM,V,A,N,N,P,P,,G,S,M,
V-APP-GSN,V-NNPP-GSN,V,A,N,N,P,P,,G,S,N,
V-APP-NPM,V-NNPP-NPM,V,A,N,N,P,P,,N,P,M,
V-APP-NPN,V-NNPP-NPN,V,A,N,N,P,P,,N,P,N,
V-APP-NSF,V-NNPP-NSF,V,A,N,N,P,P,,N,S,F,
V-APP-NSM,V-NNPP-NSM,V,A,N,N,P,P,,N,S,M,
V-APP-NSN,V-NNPP-NSN,V,A,N,N,P,P,,N,S,N,
V-APS-1P,V-NNPS-1P,V,A,N,N,P,S,1,,P,,
V-APS-1S,V-NNPS-1S,V,A,N,N,P,S,1,,S,,
V-APS-2P,V-NNPS-2P,V,A,N,N,P,S,2,,P,,
V-APS-2S,V-NNPS-2S,V,A,N,N,P,S,2,,S,,
V-APS-3P,V-NNPS-3P,V,A,N,N,P,S,3,,P,,
V-APS-3S,V-NNPS-3S,V,A,N,N,P,S,3,,S,,
V-FAI-1P,V-FIAI-1P,V,F,F,I,A,I,1,,P,,
V-FAI-1S,V-FIAI-1S,V,F,F,I,A,I,1,,S,,
V-FAI-1S-ATT,V-FIAI-1S-ATT,V,F,F,I,A,I,1,,S,,ATT
V-FAI-2P,V-FIAI-2P,V,F,F,I,A,I,2,,P,,
V-FAI-2S,V-FIAI-2S,V,F,F,I,A,I,2,,S,,
V-FAI-3P,V-FIAI-3P,V,F,F,I,A,I,3,,P,,
V-FAI-3P-ATT,V-FIAI-3P-ATT,V,F,F,I,A,I,3,,P,,ATT
V-FAI-3S,V-FIAI-3S,V,F,F,I,A,I,3,,S,,
V-FAI-3S-ATT,V-FIAI-3S-ATT,V,F,F,I,A,I,3,,S,,ATT
V-FAN,,V,F,,,A,N,,,,,
V-FAP-APN,V-FIAP-APN,V,F,F,I,A,P,,A,P,N,
V-FAP-NPM,V-FIAP-NPM,V,F,F,I,A,P,,N,P,M,
V-FAP-NSM,V-FIAP-NSM,V,F,F,I,A,P,,N,S,M,
V-FAS-3P,V-FIAS-3P,V,F,F,I,A,S,3,,P,,
V-FDI-1P,V-FIMI-1P,V,F,F,I,M,I,1,,P,,
V-FDI-1S,V-FIMI-1S,V,F,F,I,M,I,1,,S,,
V-FDI-2P,V-FIMI-2P,V,F,F,I,M,I,2,,P,,
V-FDI-2P-ATT,V-FIMI-2P-ATT,V,F,F,I,M,I,2,,P,,ATT
V-FDI-2S,V-FIMI-2S,V,F,F,I,M,I,2,,S,,
V-FDI-3P,V-FIMI-3P,V,F,F,I,M,I,3,,P,,
V-FDI-3S,V-FIMI-3S,V,F,F,I,M,I,3,,S,,
V-FDN,V-FIMN,V,F,F,I,M,N,,,,,
V-FDP-ASN,V-FIMP-ASN,V,F,F,I,M,P,,A,S,N,
V-FDP-NPM,V-FIMP-NPM,V,F,F,I,M,P,,N,P,M,
V-FMI-1S,V-FIMI-1S,V,F,F,I,M,I,1,,S,,
V-FMI-2P,V-FIMI-2P,V,F,F,I,M,I,2,,P,,
V-FMI-3P,V-FIMI-3P,V,F,F,I,M,I,3,,P,,
V-FMI-3S,V-FIMI-3S,V,F,F,I,M,I,3,,S,,
V-FMN,V-FIMN,V,F,F,I,M,N,,,,,
V-FMS-3P,V-FIMS-3P,V,F,F,I,M,S,3,,P,,
V-FNI-3P,V-FIMI-3P,V,F,F,I,M,I,3,,P,,
V-FNI-3S,V-FIMI-3S,V,F,F,I,M,I,3,,S,,
V-FOI-1S,V-FIPI-1S,V,F,F,I,P,I,1,,S,,
V-FOI-3P,V-FIPI-3P,V,F,F,I,P,I,3,,P,,
V-FOI-3S,V-FIPI-3S,V,F,F,I,P,I,3,,S,,
V-FPI-1P,V-FIPI-1P,V,F,F,I,P,I,1,,P,,
V-FPI-1S,V-FIPI-1S,V,F,F,I,P,I,1,,S,,
V-FPI-2P,V-FIPI-2P,V,F,F,I,P,I,2,,P,,
V-FPI-2S,V-FIPI-2S,V,F,F,I,P,I,2,,S,,
V-FPI-3P,V-FIPI-3P,V,F,F,I,P,I,3,,P,,
V-FPI-3S,V-FIPI-3S,V,F,F,I,P,I,3,,S,,
V-FPN,,V,F,,,P,N,,,,,
V-FPP-GPN,,V,F,,,P,P,,G,P,N,
V-FXI-3S,,V,F,,,X,I,3,,S,,
V-IAI-1P,V-PIAI-1P,V,I,P,I,A,I,1,,P,,
V-IAI-1S,V-PIAI-1S,V,I,P,I,A,I,1,,S,,
V-IAI-2P,V-PIAI-2P,V,I,P,I,A,I,2,,P,,
V-IAI-2S,V-PIAI-2S,V,I,P,I,A,I,2,,S,,
V-IAI-3P,V-PIAI-3P,V,I,P,I,A,I,3,,P,,
V-IAI-3S,V-PIAI-3S,V,I,P,I,A,I,3,,S,,
V-IAI-3S-ATT,V-PIAI-3S-ATT,V,I,P,I,A,I,3,,S,,ATT
V-IDI-3P,V-PIMI-3P,V,I,P,I,M,I,3,,P,,
V-IEI-3S,V-PIMI-3S,V,I,P,I,M,I,3,,S,,
V-IMI-1P,V-PIMI-1P,V,I,P,I,M,I,1,,P,,
V-IMI-1S,V-PIMI-1S,V,I,P,I,M,I,1,,S,,
V-IMI-3P,V-PIMI-3P,V,I,P,I,M,I,3,,P,,
V-IMI-3S,V-PIMI-3S,V,I,P,I,M,I,3,,S,,
V-INI-1P,V-PIMI-1P,V,I,P,I,M,I,1,,P,,
V-INI-1S,V-PIMI-1S,V,I,P,I,M,I,1,,S,,
V-INI-2P,V-PIMI-2P,V,I,P,I,M,I,2,,P,,
V-INI-2S,V-PIMI-2S,V,I,P,I,M,I,2,,S,,
V-INI-3P,V-PIMI-3P,V,I,P,I,M,I,3,,P,,
V-INI-3P-ATT,V-PIMI-3P-ATT,V,I,P,I,M,I,3,,P,,ATT
V-INI-3S,V-PIMI-3S,V,I,P,I,M,I,3,,S,,
V-INI-3S-ATT,V-PIMI-3S-ATT,V,I,P,I,M,I,3,,S,,ATT
V-IPI-1P,V-PNPI-1P,V,I,P,N,P,I,1,,P,,
V-IPI-1S,V-PNPI-1S,V,I,P,N,P,I,1,,S,,
V-IPI-2P,V-PNPI-2P,V,I,P,N,P,I,2,,P,,
V-IPI-3P,V-PNPI-3P,V,I,P,N,P,I,3,,P,,
V-IPI-3S,V-PNPI-3S,V,I,P,N,P,I,3,,S,,
V-LAI-1S,V-PCAI-1S,V,L,P,C,A,I,1,,S,,
V-LAI-2P,V-PCAI-2P,V,L,P,C,A,I,2,,P,,
V-LAI-2S,V-PCAI-2S,V,L,P,C,A,I,2,,S,,
V-LAI-3P,V-PCAI-3P,V,L,P,C,A,I,3,,P,,
V-LAI-3P-ATT,V-PCAI-3P-ATT,V,L,P,C,A,I,3,,P,,ATT
V-LAI-3S,V-PCAI-3S,V,L,P,C,A,I,3,,S,,
V-LAI-3S-ATT,V-PCAI-3S-ATT,V,L,P,C,A,I,3,,S,,ATT
V-LDI-3S,V-PCMI-3S,V,L,P,C,M,I,3,,S,,
V-LMI-3P,V-PCMI-3P,V,L,P,C,M,I,3,,P,,
V-LPI-3S,,V,L,,,P,I,3,,S,,
V-PAI-1P,V-RIAI-1P,V,P,R,I,A,I,1,,P,,
V-PAI-1S,V-RIAI-1S,V,P,R,I,A,I,1,,S,,
V-PAI-1S-C,V-RIAI-1S-C,V,P,R,I,A,I,1,,S,,C
V-PAI-2P,V-RIAI-2P,V,P,R,I,A,I,2,,P,,
V-PAI-2S,V-RIAI-2S,V,P,R,I,A,I,2,,S,,
V-PAI-3P,V-RIAI-3P,V,P,R,I,A,I,3,,P,,
V-PAI-3P-ATT,V-RIAI-3P-ATT,V,P,R,I,A,I,3,,P,,ATT
V-PAI-3S,V-RIAI-3S,V,P,R,I,A,I,3,,S,,
V-RMM-3S,V-RCMM-3S,V,R,R,C,M,M,3,,S,,
V-RMM-3P,V-RCMM-3P,V,R,R,C,M,M,3,,P,,
V-RAM-3S,,V,R,,,A,M,3,,S,,
V-RAM-3P,,V,R,,,A,M,3,,P,,
V-PAN,V-NIAN,V,P,N,I,A,N,,,,,
V-PAO-2P,V-NIAO-2P,V,P,N,I,A,O,2,,P,,
V-PAO-3P,V-NIAO-3P,V,P,N,I,A,O,3,,P,,
V-PAO-3S,V-NIAO-3S,V,P,N,I,A,O,3,,S,,
V-PAP-APF,V-NIAP-APF,V,P,N,I,A,P,,A,P,F,
V-PAP-APM,V-NIAP-APM,V,P,N,I,A,P,,A,P,M,
V-PAP-APN,V-NIAP-APN,V,P,N,I,A,P,,A,P,N,
V-PAP-ASF,V-NIAP-ASF,V,P,N,I,A,P,,A,S,F,
V-PAP-ASM,V-NIAP-ASM,V,P,N,I,A,P,,A,S,M,
V-PAP-ASN,V-NIAP-ASN,V,P,N,I,A,P,,A,S,N,
V-PAP-DPF,V-NIAP-DPF,V,P,N,I,A,P,,D,P,F,
V-PAP-DPM,V-NIAP-DPM,V,P,N,I,A,P,,D,P,M,
V-PAP-DPN,V-NIAP-DPN,V,P,N,I,A,P,,D,P,N,
V-PAP-DSF,V-NIAP-DSF,V,P,N,I,A,P,,D,S,F,
V-PAP-DSM,V-NIAP-DSM,V,P,N,I,A,P,,D,S,M,
V-PAP-DSN,V-NIAP-DSN,V,P,N,I,A,P,,D,S,N,
V-PAP-GPF,V-NIAP-GPF,V,P,N,I,A,P,,G,P,F,
V-PAP-GPM,V-NIAP-GPM,V,P,N,I,A,P,,G,P,M,
V-PAP-GPN,V-NIAP-GPN,V,P,N,I,A,P,,G,P,N,
V-PAP-GSF,V-NIAP-GSF,V,P,N,I,A,P,,G,S,F,
V-PAP-GSM,V-NIAP-GSM,V,P,N,I,A,P,,G,S,M,
V-PAP-GSN,V-NIAP-GSN,V,P,N,I,A,P,,G,S,N,
V-PAP-NPF,V-NIAP-NPF,V,P,N,I,A,P,,N,P,F,
V-PAP-NPM,V-NIAP-NPM,V,P,N,I,A,P,,N,P,M,
V-PAP-NPN,V-NIAP-NPN,V,P,N,I,A,P,,N,P,N,
V-PAP-NSF,V-NIAP-NSF,V,P,N,I,A,P,,N,S,F,
V-PAP-NSM,V-NIAP-NSM,V,P,N,I,A,P,,N,S,M,
V-PAP-NSN,V-NIAP-NSN,V,P,N,I,A,P,,N,S,N,
V-PAS-1P,V-NIAS-1P,V,P,N,I,A,S,1,,P,,
V-PAS-1S,V-NIAS-1S,V,P,N,I,A,S,1,,S,,
V-PAS-2P,V-NIAS-2P,V,P,N,I,A,S,2,,P,,
V-PAS-2S,V-NIAS-2S,V,P,N,I,A,S,2,,S,,
V-PAS-3P,V-NIAS-3P,V,P,N,I,A,S,3,,P,,
V-PAS-3S,V-NIAS-3S,V,P,N,I,A,S,3,,S,,
V-PDP-NPM,V-NIMP-NPM,V,P,N,I,M,P,,N,P,M,
V-PEI-2P,V-RIMI-2P,V,P,R,I,M,I,2,,P,,
V-PEI-3P,V-RIMI-3P,V,P,R,I,M,I,3,,P,,
V-PEI-3S,V-RIMI-3S,V,P,R,I,M,I,3,,S,,
V-PEM-2P,V-NIMM-2P,V,P,N,I,M,M,2,,P,,
V-PEN,V-NIMN,V,P,N,I,M,N,,,,,
V-PEP-DPM,V-NIMP-DPM,V,P,N,I,M,P,,D,P,M,
V-PEP-DSM,V-NIMP-DSM,V,P,N,I,M,P,,D,S,M,
V-PEP-GPN,V-NIMP-GPN,V,P,N,I,M,P,,G,P,N,
V-PEP-GSM,V-NIMP-GSM,V,P,N,I,M,P,,G,S,M,
V-PEP-NPF,V-NIMP-NPF,V,P,N,I,M,P,,N,P,F,
V-PEP-NPM,V-NIMP-NPM,V,P,N,I,M,P,,N,P,M,
V-PEP-NSF,V-NIMP-NSF,V,P,N,I,M,P,,N,S,F,
V-PMI-1P,V-RIMI-1P,V,P,R,I,M,I,1,,P,,
V-PMI-1S,V-RIMI-1S,V,P,R,I,M,I,1,,S,,
V-PMI-2P,V-RIMI-2P,V,P,R,I,M,I,2,,P,,
V-PMI-3P,V-RIMI-3P,V,P,R,I,M,I,3,,P,,
V-PMI-3S,V-RIMI-3S,V,P,R,I,M,I,3,,S,,
V-RAM-2S,,V,R,,,A,M,2,,S,,
V-PPM-3S,,V,P,,,P,M,3,,S,,
V-RAM-2P,,V,R,,,A,M,2,,P,,
V-PMN,V-NIMN,V,P,N,I,M,N,,,,,
V-PMP-APM,V-NIMP-APM,V,P,N,I,M,P,,A,P,M,
V-PMP-ASF,V-NIMP-ASF,V,P,N,I,M,P,,A,S,F,
V-PMP-ASM,V-NIMP-ASM,V,P,N,I,M,P,,A,S,M,
V-PMP-ASN,V-NIMP-ASN,V,P,N,I,M,P,,A,S,N,
V-PMP-DPM,V-NIMP-DPM,V,P,N,I,M,P,,D,P,M,
V-PMP-DSM,V-NIMP-DSM,V,P,N,I,M,P,,D,S,M,
V-PMP-GPF,V-NIMP-GPF,V,P,N,I,M,P,,G,P,F,
V-PMP-GPM,V-NIMP-GPM,V,P,N,I,M,P,,G,P,M,
V-PMP-GSF,V-NIMP-GSF,V,P,N,I,M,P,,G,S,F,
V-PMP-GSM,V-NIMP-GSM,V,P,N,I,M,P,,G,S,M,
V-PMP-GSN,V-NIMP-GSN,V,P,N,I,M,P,,G,S,N,
V-PMP-NPF,V-NIMP-NPF,V,P,N,I,M,P,,N,P,F,
V-PMP-NPM,V-NIMP-NPM,V,P,N,I,M,P,,N,P,M,
V-PMP-NSF,V-NIMP-NSF,V,P,N,I,M,P,,N,S,F,
V-PMP-NSM,V-NIMP-NSM,V,P,N,I,M,P,,N,S,M,
V-PMP-NSN,V-NIMP-NSN,V,P,N,I,M,P,,N,S,N,
V-PMS-1P,V-NIMS-1P,V,P,N,I,M,S,1,,P,,
V-PMS-1S,V-NIMS-1S,V,P,N,I,M,S,1,,S,,
V-PMS-2S,V-NIMS-2S,V,P,N,I,M,S,2,,S,,
V-PMS-3S,V-NIMS-3S,V,P,N,I,M,S,3,,S,,
V-PNI-1P,V-RIMI-1P,V,P,R,I,M,I,1,,P,,
V-PNI-1S,V-RIMI-1S,V,P,R,I,M,I,1,,S,,
V-PNI-2P,V-RIMI-2P,V,P,R,I,M,I,2,,P,,
V-PNI-2S,V-RIMI-2S,V,P,R,I,M,I,2,,S,,
V-PNI-2S-ATT,V-RIMI-2S-ATT,V,P,R,I,M,I,2,,S,,ATT
V-PNI-2S-C,V-RIMI-2S-C,V,P,R,I,M,I,2,,S,,C
V-PNI-3P,V-RIMI-3P,V,P,R,I,M,I,3,,P,,
V-PNI-3S,V-RIMI-3S,V,P,R,I,M,I,3,,S,,
V-PNM-2P,V-NIMM-2P,V,P,N,I,M,M,2,,P,,
V-PNM-2S,V-NIMM-2S,V,P,N,I,M,M,2,,S,,
V-PNM-3P,V-NIMM-3P,V,P,N,I,M,M,3,,P,,
V-PNM-3S,V-NIMM-3S,V,P,N,I,M,M,3,,S,,
V-PNN,V-NIMN,V,P,N,I,M,N,,,,,
V-PNO-1S,V-NIMO-1S,V,P,N,I,M,O,1,,S,,
V-PNO-3P,V-NIMO-3P,V,P,N,I,M,O,3,,P,,
V-PNO-3S,V-NIMO-3S,V,P,N,I,M,O,3,,S,,
V-PNP-APF,V-NIMP-APF,V,P,N,I,M,P,,A,P,F,
V-PNP-APM,V-NIMP-APM,V,P,N,I,M,P,,A,P,M,
V-PNP-APN,V-NIMP-APN,V,P,N,I,M,P,,A,P,N,
V-PNP-ASF,V-NIMP-ASF,V,P,N,I,M,P,,A,S,F,
V-PNP-ASM,V-NIMP-ASM,V,P,N,I,M,P,,A,S,M,
V-PNP-ASN,V-NIMP-ASN,V,P,N,I,M,P,,A,S,N,
V-PNP-DPF,V-NIMP-DPF,V,P,N,I,M,P,,D,P,F,
V-PNP-DPM,V-NIMP-DPM,V,P,N,I,M,P,,D,P,M,
V-PNP-DPN,V-NIMP-DPN,V,P,N,I,M,P,,D,P,N,
V-PNP-DSF,V-NIMP-DSF,V,P,N,I,M,P,,D,S,F,
V-PNP-DSM,V-NIMP-DSM,V,P,N,I,M,P,,D,S,M,
V-PNP-DSN,V-NIMP-DSN,V,P,N,I,M,P,,D,S,N,
V-PNP-GPF,V-NIMP-GPF,V,P,N,I,M,P,,G,P,F,
V-PNP-GPM,V-NIMP-GPM,V,P,N,I,M,P,,G,P,M,
V-PNP-GPN,V-NIMP-GPN,V,P,N,I,M,P,,G,P,N,
V-PNP-GSF,V-NIMP-GSF,V,P,N,I,M,P,,G,S,F,
V-PNP-GSM,V-NIMP-GSM,V,P,N,I,M,P,,G,S,M,
V-PNP-GSN,V-NIMP-GSN,V,P,N,I,M,P,,G,S,N,
V-PNP-NPF,V-NIMP-NPF,V,P,N,I,M,P,,N,P,F,
V-PNP-NPM,V-NIMP-NPM,V,P,N,I,M,P,,N,P,M,
V-PNP-NPN,V-NIMP-NPN,V,P,N,I,M,P,,N,P,N,
V-PNP-NSF,V-NIMP-NSF,V,P,N,I,M,P,,N,S,F,
V-PNP-NSM,V-NIMP-NSM,V,P,N,I,M,P,,N,S,M,
V-PNP-NSN,V-NIMP-NSN,V,P,N,I,M,P,,N,S,N,
V-PNS-1P,V-NIMS-1P,V,P,N,I,M,S,1,,P,,
V-PNS-1S,V-NIMS-1S,V,P,N,I,M,S,1,,S,,
V-PNS-2P,V-NIMS-2P,V,P,N,I,M,S,2,,P,,
V-PNS-2S,V-NIMS-2S,V,P,N,I,M,S,2,,S,,
V-PNS-3P,V-NIMS-3P,V,P,N,I,M,S,3,,P,,
V-PNS-3S,V-NIMS-3S,V,P,N,I,M,S,3,,S,,
V-POP-NPM,V-NIMP-NPM,V,P,N,I,M,P,,N,P,M,
V-PPI-1P,,V,P,,,P,I,1,,P,,
V-PPI-1S,,V,P,,,P,I,1,,S,,
V-PPI-2P,,V,P,,,P,I,2,,P,,
V-PPI-2S,,V,P,,,P,I,2,,S,,
V-PPI-3P,,V,P,,,P,I,3,,P,,
V-PPI-3S,,V,P,,,P,I,3,,S,,
V-PPM-2P,,V,P,,,P,M,2,,P,,
V-PPN,,V,P,,,P,N,,,,,
V-PPP-APF,V-NIMP-APF,V,P,N,I,M,P,,A,P,F,
V-PPP-APM,V-NIMP-APM,V,P,N,I,M,P,,A,P,M,
V-PPP-APN,V-NIMP-APN,V,P,N,I,M,P,,A,P,N,
V-PPP-ASF,V-NIMP-ASF,V,P,N,I,M,P,,A,S,F,
V-PPP-ASM,V-NIMP-ASM,V,P,N,I,M,P,,A,S,M,
V-PPP-ASN,V-NIMP-ASN,V,P,N,I,M,P,,A,S,N,
V-PPP-DPM,V-NIMP-DPM,V,P,N,I,M,P,,D,P,M,
V-PPP-DPN,V-NIMP-DPN,V,P,N,I,M,P,,D,P,N,
V-PPP-DSF,V-NIMP-DSF,V,P,N,I,M,P,,D,S,F,
V-PPP-DSM,V-NIMP-DSM,V,P,N,I,M,P,,D,S,M,
V-PPP-DSN,V-NIMP-DSN,V,P,N,I,M,P,,D,S,N,
V-PPP-GPM,V-NIMP-GPM,V,P,N,I,M,P,,G,P,M,
V-PPP-GPN,V-NIMP-GPN,V,P,N,I,M,P,,G,P,N,
V-PPP-GSF,V-NIMP-GSF,V,P,N,I,M,P,,G,S,F,
V-PPP-GSM,V-NIMP-GSM,V,P,N,I,M,P,,G,S,M,
V-PPP-GSN,V-NIMP-GSN,V,P,N,I,M,P,,G,S,N,
V-PPP-NPF,V-NIMP-NPF,V,P,N,I,M,P,,N,P,F,
V-PPP-NPM,V-NIMP-NPM,V,P,N,I,M,P,,N,P,M,
V-PPP-NPN,V-NIMP-NPN,V,P,N,I,M,P,,N,P,N,
V-PPP-NSF,V-NIMP-NSF,V,P,N,I,M,P,,N,S,F,
V-PPP-NSM,V-NIMP-NSM,V,P,N,I,M,P,,N,S,M,
V-PPP-NSN,V-NIMP-NSN,V,P,N,I,M,P,,N,S,N,
V-PPS-1P,,V,P,,,P,S,1,,P,,
V-PPS-1S,,V,P,,,P,S,1,,S,,
V-PPS-2P,,V,P,,,P,S,2,,P,,
V-PPS-3P,,V,P,,,P,S,3,,P,,
V-PPS-3S,,V,P,,,P,S,3,,S,,
V-RAI-1P,V-RCAI-1P,V,R,R,C,A,I,1,,P,,
V-RAI-1P-ATT,V-RCAI-1P-ATT,V,R,R,C,A,I,1,,P,,ATT
V-RAI-1S,V-RCAI-1S,V,R,R,C,A,I,1,,S,,
V-RAI-1S-ATT,V-RCAI-1S-ATT,V,R,R,C,A,I,1,,S,,ATT
V-RAI-2P,V-RCAI-2P,V,R,R,C,A,I,2,,P,,
V-RAI-2P-ATT,V-RCAI-2P-ATT,V,R,R,C,A,I,2,,P,,ATT
V-RAI-2S,V-RCAI-2S,V,R,R,C,A,I,2,,S,,
V-RAI-2S-ATT,V-RCAI-2S-ATT,V,R,R,C,A,I,2,,S,,ATT
