parsT,pars,vv,aspect,tijd,toestand,vorm,modus,persoon,naamval,getal,geslacht,extra
V-RAI-3P,V-RCAI-3P,V,R,R,C,A,I,3,,P,,
V-RAI-3P-ATT,V-RCAI-3P-ATT,V,R,R,C,A,I,3,,P,,ATT
V-RAI-3S,V-RCAI-3S,V,R,R,C,A,I,3,,S,,
V-RAI-3S-ATT,V-RCAI-3S-ATT,V,R,R,C,A,I,3,,S,,ATT
V-RAN,V-NCAN,V,R,N,C,A,N,,,,,
V-RAN-ATT,V-NCAN-ATT,V,R,N,C,A,N,,,,,ATT
V-RAP-APM,V-NCAP-APM,V,R,N,C,A,P,,A,P,M,
V-RAP-APN,V-NCAP-APN,V,R,N,C,A,P,,A,P,N,
V-RAP-ASF,V-NCAP-ASF,V,R,N,C,A,P,,A,S,F,
V-RAP-ASM,V-NCAP-ASM,V,R,N,C,A,P,,A,S,M,
V-RAP-ASN,V-NCAP-ASN,V,R,N,C,A,P,,A,S,N,
V-RAP-DPM,V-NCAP-DPM,V,R,N,C,A,P,,D,P,M,
V-RAP-DSM,V-NCAP-DSM,V,R,N,C,A,P,,D,S,M,
V-RAP-DSN,V-NCAP-DSN,V,R,N,C,A,P,,D,S,N,
V-RAP-GPM,V-NCAP-GPM,V,R,N,C,A,P,,G,P,M,
V-RAP-GPN,V-NCAP-GPN,V,R,N,C,A,P,,G,P,N,
V-RAP-GSF,V-NCAP-GSF,V,R,N,C,A,P,,G,S,F,
V-RAP-GSM,V-NCAP-GSM,V,R,N,C,A,P,,G,S,M,
V-RAP-GSN-ATT,V-NCAP-GSN-ATT,V,R,N,C,A,P,,G,S,N,ATT
V-RAP-NPF,V-NCAP-NPF,V,R,N,C,A,P,,N,P,F,
V-RAP-NPM,V-NCAP-NPM,V,R,N,C,A,P,,N,P,M,
V-RAP-NPM-ATT,V-NCAP-NPM-ATT,V,R,N,C,A,P,,N,P,M,ATT
V-RAP-NPN,V-NCAP-NPN,V,R,N,C,A,P,,N,P,N,
V-RAP-NSF,V-NCAP-NSF,V,R,N,C,A,P,,N,S,F,
V-RAP-NSM,V-NCAP-NSM,V,R,N,C,A,P,,N,S,M,
V-RAP-NSM-ATT,V-NCAP-NSM-ATT,V,R,N,C,A,P,,N,S,M,ATT
V-RAP-NSN,V-NCAP-NSN,V,R,N,C,A,P,,N,S,N,
V-RAS-1P,,V,R,,,A,S,1,,P,,
V-RAS-1S,,V,R,,,A,S,1,,S,,
V-RAS-2P,,V,R,,,A,S,2,,P,,
V-RAS-2S,,V,R,,,A,S,2,,S,,
V-RDI-3S,V-RCMI-3S,V,R,R,C,M,I,3,,S,,
V-REP-APM,V-NCMP-APM,V,R,N,C,M,P,,A,P,M,
V-RMI-2S,V-RCMI-2S,V,R,R,C,M,I,2,,S,,
V-RMI-3S,V-RCMI-3S,V,R,R,C,M,I,3,,S,,
V-RMP-ASM,V-NCMP-ASM,V,R,N,C,M,P,,A,S,M,
V-RMP-DPM,V-NCMP-DPM,V,R,N,C,M,P,,D,P,M,
V-RMP-NPM,V-NCMP-NPM,V,R,N,C,M,P,,N,P,M,
V-RMP-NSM,V-NCMP-NSM,V,R,N,C,M,P,,N,S,M,
V-RNI-1P,V-RCMI-1P,V,R,R,C,M,I,1,,P,,
V-RNI-1S,V-RCMI-1S,V,R,R,C,M,I,1,,S,,
V-RNI-3S,V-RCMI-3S,V,R,R,C,M,I,3,,S,,
V-RNN,V-NCMN,V,R,N,C,M,N,,,,,
V-RNP-APM,V-NCMP-APM,V,R,N,C,M,P,,A,P,M,
V-RNP-ASF,V-NCMP-ASF,V,R,N,C,M,P,,A,S,F,
V-RNP-DPF,V-NCMP-DPF,V,R,N,C,M,P,,D,P,F,
V-RNP-NPM,V-NCMP-NPM,V,R,N,C,M,P,,N,P,M,
V-RNP-NSM,V-NCMP-NSM,V,R,N,C,M,P,,N,S,M,
V-RPI-1P,,V,R,,,P,I,1,,P,,
V-RPI-1S,,V,R,,,P,I,1,,S,,
V-RPI-2P,,V,R,,,P,I,2,,P,,
V-RPI-2S,,V,R,,,P,I,2,,S,,
V-RPI-3P,,V,R,,,P,I,3,,P,,
V-RPI-3S,,V,R,,,P,I,3,,S,,
V-RPM-2P,,V,R,,,P,M,2,,P,,
V-RPM-2S,,V,R,,,P,M,2,,S,,
V-RPN,,V,R,,,P,N,,,,,
V-RPP-APF,V-NCMP-APF,V,R,N,C,M,P,,A,P,F,
V-RPP-APM,V-NCMP-APM,V,R,N,C,M,P,,A,P,M,
V-RPP-APN,V-NCMP-APN,V,R,N,C,M,P,,A,P,N,
V-RPP-ASF,V-NCMP-ASF,V,R,N,C,M,P,,A,S,F,
V-RPP-ASM,V-NCMP-ASM,V,R,N,C,M,P,,A,S,M,
V-RPP-ASN,V-NCMP-ASN,V,R,N,C,M,P,,A,S,N,
V-RPP-ASN-ATT,V-NCMP-ASN-ATT,V,R,N,C,M,P,,A,S,N,ATT
V-RPP-DPM,V-NCMP-DPM,V,R,N,C,M,P,,D,P,M,
V-RPP-DPN,V-NCMP-DPN,V,R,N,C,M,P,,D,P,N,
V-RPP-DSF,V-NCMP-DSF,V,R,N,C,M,P,,D,S,F,
V-RPP-DSM,V-NCMP-DSM,V,R,N,C,M,P,,D,S,M,
V-RPP-DSN,V-NCMP-DSN,V,R,N,C,M,P,,D,S,N,
V-RPP-GPF,V-NCMP-GPF,V,R,N,C,M,P,,G,P,F,
V-RPP-GPM,V-NCMP-GPM,V,R,N,C,M,P,,G,P,M,
V-RPP-GPN,V-NCMP-GPN,V,R,N,C,M,P,,G,P,N,
V-RPP-GSF,V-NCMP-GSF,V,R,N,C,M,P,,G,S,F,
V-RPP-GSM,V-NCMP-GSM,V,R,N,C,M,P,,G,S,M,
V-RPP-GSN,V-NCMP-GSN,V,R,N,C,M,P,,G,S,N,
V-RPP-NPF,V-NCMP-NPF,V,R,N,C,M,P,,N,P,F,
V-RPP-NPM,V-NCMP-NPM,V,R,N,C,M,P,,N,P,M,
V-RPP-NPN,V-NCMP-NPN,V,R,N,C,M,P,,N,P,N,
V-RPP-NSF,V-NCMP-NSF,V,R,N,C,M,P,,N,S,F,
V-RPP-NSM,V-NCMP-NSM,V,R,N,C,M,P,,N,S,M,
V-RPP-NSN,V-NCMP-NSN,V,R,N,C,M,P,,N,S,N,
V-RPP-NSN-ATT,V-NCMP-NSN-ATT,V,R,N,C,M,P,,N,S,N,ATT
V-RPP-VSM,V-NCMP-VSM,V,R,N,C,M,P,,V,S,M,
X-APF,X-APF,X,,,,,,,A,P,F,
X-APM,X-APM,X,,,,,,,A,P,M,
X-APN,X-APN,X,,,,,,,A,P,N,
X-ASF,X-ASF,X,,,,,,,A,S,F,
X-ASM,X-ASM,X,,,,,,,A,S,M,
X-ASN,X-ASN,X,,,,,,,A,S,N,
X-DPM,X-DPM,X,,,,,,,D,P,M,
X-DSF,X-DSF,X,,,,,,,D,S,F,
X-DSM,X-DSM,X,,,,,,,D,S,M,
X-DSN,X-DSN,X,,,,,,,D,S,N,
X-GPF,X-GPF,X,,,,,,,G,P,F,
X-GPM,X-GPM,X,,,,,,,G,P,M,
X-GPN,X-GPN,X,,,,,,,G,P,N,
X-GSM,X-GSM,X,,,,,,,G,S,M,
X-GSN,X-GSN,X,,,,,,,G,S,N,
X-NPF,X-NPF,X,,,,,,,N,P,F,
X-NPM,X-NPM,X,,,,,,,N,P,M,
X-NPN,X-NPN,X,,,,,,,N,P,N,
X-NSF,X-NSF,X,,,,,,,N,S,F,
X-NSM,X-NSM,X,,,,,,,N,S,M,
X-NSN,X-NSN,X,,,,,,,N,S,N,
A-GSN-C,A-GSN-C,A,,,,,,,G,S,N,C
A-VSN,A-VSN,A,,,,,,,V,S,N,
I-APN,I-APN,I,,,,,,,A,P,N,
I-NPF,I-NPF,I,,,,,,,N,P,F,
N-APM-C,N-APM-C,N,,,,,,,A,P,M,C
N-GPM-S,N-GPM-S,N,,,,,,,G,P,M,S
P-2VS,P-2VS,P,,,,,,2,V,S,,
T-VPM,T-VPM,T,,,,,,,V,P,M,
T-VPN,T-VPN,T,,,,,,,V,P,N,
T-VSF,T-VSF,T,,,,,,,V,S,F,
T-VSM,T-VSM,T,,,,,,,V,S,M,
T-VSN,T-VSN,T,,,,,,,V,S,N,
V-AAO-1P,,V,A,,,A,O,1,,P,,
V-AAO-1S,,V,A,,,A,O,1,,S,,
V-AAO-2P,,V,A,,,A,O,2,,P,,
V-AAO-2S,,V,A,,,A,O,2,,S,,
V-AAP-3S,V-NNAP-3S,V,A,N,N,A,P,3,,S,,
V-AAP-APF,V-NNAP-APF,V,A,N,N,A,P,,A,P,F,
V-AAP-DPF,V-NNAP-DPF,V,A,N,N,A,P,,D,P,F,
V-AAP-DPN,V-NNAP-DPN,V,A,N,N,A,P,,D,P,N,
V-AAP-DSF,V-NNAP-DSF,V,A,N,N,A,P,,D,S,F,
V-AAP-GPF,V-NNAP-GPF,V,A,N,N,A,P,,G,P,F,
V-AAP-GPN,V-NNAP-GPN,V,A,N,N,A,P,,G,P,N,
V-AAP-GSF,V-NNAP-GSF,V,A,N,N,A,P,,G,S,F,
V-AAP-GSN,V-NNAP-GSN,V,A,N,N,A,P,,G,S,N,
V-AAP-NDM,V-NNAP-NDM,V,A,N,N,A,P,,N,D,M,
V-AAP-NPN,V-NNAP-NPN,V,A,N,N,A,P,,N,P,N,
V-PPM-3P,,V,P,,,P,M,3,,P,,
V-AMO-1S,,V,A,,,M,O,1,,S,,
V-AMO-2S,,V,A,,,M,O,2,,S,,
V-AMO-3P,,V,A,,,M,O,3,,P,,
V-AMO-3S,,V,A,,,M,O,3,,S,,
V-AMP-APF,V-NNMP-APF,V,A,N,N,M,P,,A,P,F,
V-AMP-APN,V-NNMP-APN,V,A,N,N,M,P,,A,P,N,
V-AMP-ASF,V-NNMP-ASF,V,A,N,N,M,P,,A,S,F,
V-AMP-ASM,V-NNMP-ASM,V,A,N,N,M,P,,A,S,M,
V-AMP-ASN,V-NNMP-ASN,V,A,N,N,M,P,,A,S,N,
V-AMP-DPF,V-NNMP-DPF,V,A,N,N,M,P,,D,P,F,
V-AMP-DSF,V-NNMP-DSF,V,A,N,N,M,P,,D,S,F,
V-AMP-DSM,V-NNMP-DSM,V,A,N,N,M,P,,D,S,M,
V-AMP-GSF,V-NNMP-GSF,V,A,N,N,M,P,,G,S,F,
V-AMP-NPF,V-NNMP-NPF,V,A,N,N,M,P,,N,P,F,
V-AMP-NSN,V-NNMP-NSN,V,A,N,N,M,P,,N,S,N,
V-PPM-2S,,V,P,,,P,M,2,,S,,
V-PMM-3S,V-NIMM-3S,V,P,N,I,M,M,3,,S,,
V-PMM-3P,V-NIMM-3P,V,P,N,I,M,M,3,,P,,
V-PMM-2S,V-NIMM-2S,V,P,N,I,M,M,2,,S,,
V-APO-1P,V-NNPO-1P,V,A,N,N,P,O,1,,P,,
V-APO-1S,V-NNPO-1S,V,A,N,N,P,O,1,,S,,
V-APO-2P,V-NNPO-2P,V,A,N,N,P,O,2,,P,,
V-APO-3P,V-NNPO-3P,V,A,N,N,P,O,3,,P,,
V-APP-2S,V-NNPP-2S,V,A,N,N,P,P,2,,S,,
V-APP-APF,V-NNPP-APF,V,A,N,N,P,P,,A,P,F,
V-APP-DPM,V-NNPP-DPM,V,A,N,N,P,P,,D,P,M,
V-APP-NPF,V-NNPP-NPF,V,A,N,N,P,P,,N,P,F,
V-PMM-2P,V-NIMM-2P,V,P,N,I,M,M,2,,P,,
V-FAO-3S,V-FIAO-3S,V,F,F,I,A,O,3,,S,,
V-FAP-ASN,V-FIAP-ASN,V,F,F,I,A,P,,A,S,N,
V-FAP-NSN,V-FIAP-NSN,V,F,F,I,A,P,,N,S,N,
V-FAS-1S,V-FIAS-1S,V,F,F,I,A,S,1,,S,,
V-FMI-1P,V-FIMI-1P,V,F,F,I,M,I,1,,P,,
V-FMI-2S,V-FIMI-2S,V,F,F,I,M,I,2,,S,,
V-FMO-3S,,V,F,,,M,O,3,,S,,
V-FMP-APN,V-FIMP-APN,V,F,F,I,M,P,,A,P,N,
V-FMP-ASM,V-FIMP-ASM,V,F,F,I,M,P,,A,S,M,
V-FMP-ASN,V-FIMP-ASN,V,F,F,I,M,P,,A,S,N,
V-FMP-GPN,V-FIMP-GPN,V,F,F,I,M,P,,G,P,N,
V-FMP-GSM,V-FIMP-GSM,V,F,F,I,M,P,,G,S,M,
V-FMP-NSM,V-FIMP-NSM,V,F,F,I,M,P,,N,S,M,
V-FMP-NSN,V-FIMP-NSN,V,F,F,I,M,P,,N,S,N,
V-FMS-2S,V-FIMS-2S,V,F,F,I,M,S,2,,S,,
V-FPP-APF,,V,F,,,P,P,,A,P,F,
V-FPP-DPM,,V,F,,,P,P,,D,P,M,
V-FPP-DSM,,V,F,,,P,P,,D,S,M,
V-FPP-GPM,,V,F,,,P,P,,G,P,M,
V-FPP-NPM,,V,F,,,P,P,,N,P,M,
V-FPP-NSM,,V,F,,,P,P,,N,S,M,
V-FPP-NSN,,V,F,,,P,P,,N,S,N,
V-FPS-2S,V-FIPS-2S,V,F,F,I,P,S,2,,S,,
V-FPS-3P,V-FIPS-3P,V,F,F,I,P,S,3,,P,,
V-IMI-2P,V-PIMI-2P,V,I,P,I,M,I,2,,P,,
V-IMI-2S,V-PIMI-2S,V,I,P,I,M,I,2,,S,,
V-LAI-1P,V-PCAI-1P,V,L,P,C,A,I,1,,P,,
V-LMI-3S,V-PCMI-3S,V,L,P,C,M,I,3,,S,,
V-LMP-ASN,,V,L,,,M,P,,A,S,N,
V-LMP-NPM,,V,L,,,M,P,,N,P,M,
V-LMP-NSM,,V,L,,,M,P,,N,S,M,
V-LMP-NSN,,V,L,,,M,P,,N,S,N,
V-LPP-3S,,V,L,,,P,P,3,,S,,
V-LPP-ASM,,V,L,,,P,P,,A,S,M,
V-PAM-3S,V-NIAM-3S,V,P,N,I,A,M,3,,S,,
V-PAM-3P,V-NIAM-3P,V,P,N,I,A,M,3,,P,,
V-PAM-2S,V-NIAM-2S,V,P,N,I,A,M,2,,S,,
V-PAM-2P,V-NIAM-2P,V,P,N,I,A,M,2,,P,,
V-PAI-1D,V-RIAI-1D,V,P,R,I,A,I,1,,D,,
V-PAP-VPM,V-NIAP-VPM,V,P,N,I,A,P,,V,P,M,
V-PAP-VSF,V-NIAP-VSF,V,P,N,I,A,P,,V,S,F,
V-PAP-VSM,V-NIAP-VSM,V,P,N,I,A,P,,V,S,M,
V-FAM-2S,,V,F,,,A,M,2,,S,,
V-APM-3S,V-NNPM-3S,V,A,N,N,P,M,3,,S,,
V-APM-3P,V-NNPM-3P,V,A,N,N,P,M,3,,P,,
V-APM-2S,V-NNPM-2S,V,A,N,N,P,M,2,,S,,
V-PMI-2S,V-RIMI-2S,V,P,R,I,M,I,2,,S,,
V-PMO-1S,V-NIMO-1S,V,P,N,I,M,O,1,,S,,
V-PMO-2S,V-NIMO-2S,V,P,N,I,M,O,2,,S,,
V-PMO-3S,V-NIMO-3S,V,P,N,I,M,O,3,,S,,
V-PMP-3P,V-NIMP-3P,V,P,N,I,M,P,3,,P,,
V-PMP-APF,V-NIMP-APF,V,P,N,I,M,P,,A,P,F,
V-PMP-APN,V-NIMP-APN,V,P,N,I,M,P,,A,P,N,
V-PMP-DPF,V-NIMP-DPF,V,P,N,I,M,P,,D,P,F,
V-PMP-DPN,V-NIMP-DPN,V,P,N,I,M,P,,D,P,N,
V-PMP-DSF,V-NIMP-DSF,V,P,N,I,M,P,,D,S,F,
V-PMP-DSN,V-NIMP-DSN,V,P,N,I,M,P,,D,S,N,
V-PMP-GPN,V-NIMP-GPN,V,P,N,I,M,P,,G,P,N,
V-PMP-NPN,V-NIMP-NPN,V,P,N,I,M,P,,N,P,N,
V-PMP-VPM,V-NIMP-VPM,V,P,N,I,M,P,,V,P,M,
V-PMP-VPN,V-NIMP-VPN,V,P,N,I,M,P,,V,P,N,
V-PMP-VSM,V-NIMP-VSM,V,P,N,I,M,P,,V,S,M,
V-PMS-2P,V-NIMS-2P,V,P,N,I,M,S,2,,P,,
V-PMS-3P,V-NIMS-3P,V,P,N,I,M,S,3,,P,,
V-APM-2P,V-NNPM-2P,V,A,N,N,P,M,2,,P,,
V-AMM-3S,V-NNMM-3S,V,A,N,N,M,M,3,,S,,
V-AMM-3P,V-NNMM-3P,V,A,N,N,M,M,3,,P,,
V-PPP-GPF,V-NIMP-GPF,V,P,N,I,M,P,,G,P,F,
V-PPS-2S,,V,P,,,P,S,2,,S,,
V-AMM-2S,V-NNMM-2S,V,A,N,N,M,M,2,,S,,
V-AMM-2P,V-NNMM-2P,V,A,N,N,M,M,2,,P,,
V-AAM-3S,V-NNAM-3S,V,A,N,N,A,M,3,,S,,
V-AAM-3P,V-NNAM-3P,V,A,N,N,A,M,3,,P,,
V-RAO-3S,,V,R,,,A,O,3,,S,,
V-RAP-DPN,V-NCAP-DPN,V,R,N,C,A,P,,D,P,N,
V-RAP-DSF,V-NCAP-DSF,V,R,N,C,A,P,,D,S,F,
V-RAP-GPF,V-NCAP-GPF,V,R,N,C,A,P,,G,P,F,
V-RAP-GSN,V-NCAP-GSN,V,R,N,C,A,P,,G,S,N,
V-RAP-VPM,V-NCAP-VPM,V,R,N,C,A,P,,V,P,M,
V-AAM-2S,V-NNAM-2S,V,A,N,N,A,M,2,,S,,
V-AAM-2P,V-NNAM-2P,V,A,N,N,A,M,2,,P,,
V-RMI-1P,V-RCMI-1P,V,R,R,C,M,I,1,,P,,
V-RMI-1S,V-RCMI-1S,V,R,R,C,M,I,1,,S,,
V-RMI-2P,V-RCMI-2P,V,R,R,C,M,I,2,,P,,
V-RMI-3P,V-RCMI-3P,V,R,R,C,M,I,3,,P,,
V-RMI-NFS,V-RCMI-NFS,V,R,R,C,M,I,,N,F,S,
V-RMI-NPM,V-RCMI-NPM,V,R,R,C,M,I,,N,P,M,
V-RMN,V-NCMN,V,R,N,C,M,N,,,,,
V-RMP-3P,V-NCMP-3P,V,R,N,C,M,P,3,,P,,
V-RMP-APF,V-NCMP-APF,V,R,N,C,M,P,,A,P,F,
V-RMP-APM,V-NCMP-APM,V,R,N,C,M,P,,A,P,M,
V-RMP-APN,V-NCMP-APN,V,R,N,C,M,P,,A,P,N,
V-RMP-ASF,V-NCMP-ASF,V,R,N,C,M,P,,A,S,F,
V-RMP-ASN,V-NCMP-ASN,V,R,N,C,M,P,,A,S,N,
V-RMP-DPF,V-NCMP-DPF,V,R,N,C,M,P,,D,P,F,
V-RMP-DPN,V-NCMP-DPN,V,R,N,C,M,P,,D,P,N,
V-RMP-DSF,V-NCMP-DSF,V,R,N,C,M,P,,D,S,F,
V-RMP-DSM,V-NCMP-DSM,V,R,N,C,M,P,,D,S,M,
V-RMP-DSN,V-NCMP-DSN,V,R,N,C,M,P,,D,S,N,
V-RMP-GPF,V-NCMP-GPF,V,R,N,C,M,P,,G,P,F,
V-RMP-GPM,V-NCMP-GPM,V,R,N,C,M,P,,G,P,M,
V-RMP-GPN,V-NCMP-GPN,V,R,N,C,M,P,,G,P,N,
V-RMP-GSF,V-NCMP-GSF,V,R,N,C,M,P,,G,S,F,
V-RMP-GSM,V-NCMP-GSM,V,R,N,C,M,P,,G,S,M,
V-RMP-GSN,V-NCMP-GSN,V,R,N,C,M,P,,G,S,N,
V-RMP-NPF,V-NCMP-NPF,V,R,N,C,M,P,,N,P,F,
V-RMP-NPN,V-NCMP-NPN,V,R,N,C,M,P,,N,P,N,
V-RMP-NSF,V-NCMP-NSF,V,R,N,C,M,P,,N,S,F,
V-RMP-NSN,V-NCMP-NSN,V,R,N,C,M,P,,N,S,N,
V-RPP-2S,V-NCMP-2S,V,R,N,C,M,P,2,,S,,
V-RPP-DPF,V-NCMP-DPF,V,R,N,C,M,P,,D,P,F,
V-2FDI-3S,V-FIMI-3S,V,2F,F,I,M,I,3,,S,,
"PREP,R-GPN",PREP,PREP,,,,,,,,,,
"PREP,R-GPN",R-GPN,R,,,,,,,G,P,N,
"PREP,R-GPM",PREP,PREP,,,,,,,,,,
"PREP,R-GPM",R-GPM,R,,,,,,,G,P,M,
"PREP,R-DSN",PREP,PREP,,,,,,,,,,
"PREP,R-DSN",R-DSN,R,,,,,,,D,S,N,
"PREP,I-ASN",PREP,PREP,,,,,,,,,,
"PREP,I-ASN",I-ASN,I,,,,,,,A,S,N,
"PREP,D-ASN",PREP,PREP,,,,,,,,,,
"PREP,D-ASN",D-ASN,D,,,,,,,A,S,N,
"PREP,A-GSN",PREP,PREP,,,,,,,,,,
"PREP,A-GSN",A-GSN,A,,,,,,,G,S,N,
"PREP,A-GSM",PREP,PREP,,,,,,,,,,
"PREP,A-GSM",A-GSM,A,,,,,,,G,S,M,
"N-GSM,N-GSN",N-GSM,N,,,,,,,G,S,M,
"N-GSM,N-GSN",N-GSN,N,,,,,,,G,S,N,
"N-GSM,N-GSM",N-GSM,N,,,,,,,G,S,M,
"N-ASM,N-ASM",N-ASM,N,,,,,,,A,S,M,
"CONJ,PRT-N",CONJ,CONJ,,,,,,,,,,
"CONJ,PRT-N",PRT-N,PRT,,,,,,,,,,N
"CONJ,I-ASN",CONJ,CONJ,,,,,,,,,,
"CONJ,I-ASN",I-ASN,I,,,,,,,A,S,N,
"CONJ,ADV,CONJ,ADV",CONJ,CONJ,,,,,,,,,,
