vid,tekst
40012046,Zijn moeder en broeders
40012038,Een teken waarnemen
40012022,Jezus en de farizeeën en schriftgeleerden
40012015,Zoals uitgesproken door Jesaja
40012001,Aren plukken op de sabbat
40012009,Een genezing op de sabbat
40011025,Niemand erkent de Vader tenzij door de Zoon
40011002,Jezus en Johannes
40011016,Deze generatie vergeleken
40010001,Afvaardiging van de twaalf leerlingen
40009035,De oogst is groot
40009018,De opwekking van een meisje
40009027,Genezingen
40009014,Het vasten
40009009,Matteüs en de tollenaren
40009001,De autoriteit van de Mensenzoon
40008028,Twee demonisch bezetenen
40008023,Een beving in de zee
40008018,Het volgen van Jezus
40008014,Genezingen
40008005,Een hoofdman in Kafarnaüm
40008001,Genezing van iemand met een huidziekte
40007028,De scharen verwonderen zich
40007024,Een verstandig man en een dwaas man
40007013,Binnenkomen in het koninkrijk van de hemelen
40007007,Verzoek en het zal gegeven worden
40007001,Oordeel niet
40006025,Wees niet bezorgd
40006019,Schatten in de hemel
40006016,Het vasten
40006005,Het bidden
40006001,Het acht geven op de rechtvaardigheid en aalmoezen
40005017,De wet en de profeten
40005013,Het zout van de aarde en het licht van de wereld
40005001,Gelukkig
40004023,Grote scharen volgen Hem
40004018,Jezus roept achter Hem aan
40004012,Jezus begint te verkondigen
40004001,Jezus naar de woestijn om uitgeprobeerd te worden
40003013,Jezus komt naar Johannes om gedoopt te worden
40003001,Johannes de Doper
40002019,Het binnenkomen in Israël en Nazaret
40002013,De vlucht naar Egypte – Het ombrengen van de jongens in Betlehem
40002001,De magiërs vanuit het oosten
40001018,De geboorte van Jezus Christus
40001001,De afstamming van Jezus Christus
40013001,De parabel van de zaaier
40013010,Waarom spreekt Jezus in parabelen?
40013018,Uitleg van de parabel van de zaaier
40013024,Andere parabelen
40013036,Ophelderen van de parabel van de dolik van het veld
40013044,Andere parabelen
40013053,Jezus in zijn vaderstad
40014001,Johannes de Doper onthoofd
40014013,Verzadiging van de menigten
40014022,Jezus wandelend over de zee
40014034,In Gennesaret
40015001,Jezus en de schriftgeleerden en farizeeën
40015010,Wat ontwijdt
40015021,De Kananese vrouw
40015029,Verzadiging van de schare
40016001,Ten toon spreiden van een teken
40016005,De zuurdesem van de farizeeën en sadduceeën
40016013,Wie is de Mensenzoon
40016021,Het tonen van het lijden
40017001,Een stem uit de wolk
40017014,Een ongelovige generatie
40017022,De mensenzoon zal overgegeven worden
40017024,Een stater in de mond van een vis
40018001,De grootste in het koninkrijk van de hemelen
40018012,Het verdwaalde schaap
40018015,Een broeder aantonen verkeerd te zitten
40018021,Het vergeven van een broeder
40019001,Het laten gaan van je vrouw
40019013,Jezus legt de kinderen de handen op
40019016,De jongeling met veel verworven spullen
40019027,Achterlaten omwille van Jezus
40020001,De vergelijking van de werkers in de wijngaard
40020017,Omhoog naar Jeruzalem
40020020,Gekomen om te dienen
40020029,Twee blinden
40021001,Binnenkomen in Jeruzalem
40021012,Jezus komt de gewijde plaats binnen
40021018,De uitdroging van de vijgenboom
40021023,"Gesprek met de hogepriesters, oudsten en farizeeën"
40021028,De parabel van de twee kinderen
40021033,De parabel van de pachters van een wijngaard
40022001,De parabel van de bruiloftsfeesten van een koning
40022015,Hoofdelijke belasting betalen
40022023,De sadduceeërs en de opstanding
40022034,Het grote gebod
40022041,Zoon van David en zijn Heer
40023001,Wee de schriftgeleerden en farizeeën
40024001,Zijn aanwezigheid en de afsluiting van het tijdperk
40025001,De tien maagden
40025014,De talenten
40025031,De Mensenzoon en de volken
40026001,De Mensenzoon overgegeven om gekruisigd te worden
40026006,Jezus overgoten met zeer kostbare mirre
40026017,Het Pascha eten
40026026,Het brood en de beker
40026036,Getsemane
40026047,Jezus gegrepen
40026057,Valse getuigen
40026069,Jezus verloochend
40027001,Pontius Pilatus
40027011,Jezus of Barabbas
40027027,Het spotten met Jezus
40027033,Kruisiging
40027045,Jezus laat de geest
40027057,De grafkamer
40027062,Verzegeling van het graf
40028001,Opgewekt vanuit de doden
40028011,Beraadslaging van hogepriesters met de oudsten
40028016,De leerlingen naar de natiën
41001001,Johannes de Dopende
41001009,Gedoopt door Johannes en het uitgeprobeerd worden
41001014,Jezus roept achter Hem aan in Galilea
41001021,In de synagoge in Kafarnaüm
41001029,In het woonhuis van Simon en genezingen
41001040,Genezing van een aan een huidziekte lijdende
41002001,De genezing van een verlamde
41002013,Levi volgt Jezus
41002018,Het vasten
41002023,Aren plukken op de sabbat
41003001,Een genezing op de sabbat
41003007,Jezus en de onreine geesten
41003013,De twaalf afgevaardigden
41003019,Jezus en Beëlzebul
41003031,Zijn moeder en Zijn broeders en Zijn zusters
41004001,De parabel van de zaaier
41004021,Bekijk wat jullie horen
41004026,Het koninkrijk van God
41004035,Een grote stormwind op de zee
41005001,Een mens met een onreine geest
41005021,Het dochtertje van Jaïrus en de vrouw met bloedvloeiingen
41006001,Vele hoorders in Zijn vaderstad verstrikt in Hem
41006006,De afvaardiging van de twaalf
41006014,Johannes de Dopende onthoofd
41006030,De afgevaardigden verzamelen zich
41006033,De verzadiging van een grote schare
41006045,Jezus komend over de zee
41006053,Genezingen in Genesaret
41007001,Overlevering van mensen
41007014,Wat ontwijdt
41007024,De Syrofenicische vrouw
41007031,De genezing van een dove en moeilijk sprekende
41008001,De verzadiging van weer een grote schare
41008010,Een teken waarnemen
41008014,De zuurdesem van de farizeeën
41008022,De blinde in Betsaïda
41008027,Wie is Jezus
41008031,De Mensenzoon moet veel lijden
41008034,Jezelf verloochenen en achter Jezus aankomen
41009001,Een stem uit de wolk
41009014,Ongeloof
41009030,De Mensenzoon zal overgegeven worden
41009033,Wie is de grotere
41009038,Tot strik worden
41010001,Het laten gaan van je vrouw
41010013,Jezus plaatst de handen op de kinderen
41010017,De jongeling met veel verworven spullen
41010028,Achterlaten omwille van Jezus
41010032,De mensenzoon zal overgegeven worden
41010035,Niet gediend worden maar dienen
41010046,Bartimeüs
41011001,Binnenkomen in Jeruzalem
41011011,Een vijgenboom zonder vruchten
41011015,Jezus komt de gewijde plaats binnen
41011020,De vijgenboom uitgedroogd
41011027,"Gesprek met de hogepriesters, oudsten en farizeeën"
41012001,De parabel van de pachters van een wijngaard
41012013,Hoofdelijke belasting betalen
41012018,In de opstanding
41012028,Het grote gebod
41012035,Zoon van David en zijn Heer
41012038,Kijk uit voor de schriftgeleerden
41012041,De halve penning van een arme weduwe
41013001,Het teken wanneer de dingen op het punt staan geheel volbracht te worden
41014001,Jezus overgoten met dure pure nardus mirre
41014012,Het Pascha eten
41014022,Het brood en de beker
41014027,Allen verstrikt in Jezus
41014032,Getsemane
41014043,Jezus vastgehouden
41014053,Valse getuigen
41014066,Jezus verloochend
41015001,Pilatus
41015006,Jezus of Barabbas
41015016,Het spotten met Jezus
41015021,Kruisiging
41015033,Jezus blaast de laatste adem uit
41015042,De grafkelder
41016001,De opwekking
41016009,Jezus wordt openbaar gemaakt
42001001,De zekerheid van de woorden
42001005,Elisabet zal Johannes voortbrengen
42001026,Miriam zal zwanger zijn van Jezus
42001039,Bij Elisabet – Miriam maakt de Heer groot
42001057,Johannes voortgebracht – Zacharias profeteert
42002001,Miriam baart haar Zoon
42002008,De herders
42002021,Zijn naam werd Jezus genoemd
42002022,Simeon en Hanna
42002041,De twaalfjarige Jezus in de gewijde plaats
42003001,Johannes verkondigt een doop
42003021,Ook Jezus gedoopt
42003023,"Jezus, een zoon van"
42004001,Jezus in de woestijn om uitgeprobeerd te worden
42004014,Jezus onderwijst in de synagogen
42004031,Genezingen
42004042,Jezus afgevaardigd om evangelie te verkondigen
42005001,"Simon Petrus volgt Jezus, en Jakobus en Johannes"
42005012,Genezing van iemand met een huidziekte
42005017,Genezing van een verlamde
42005027,Levi volgt Jezus
42005033,Het vasten
42006001,Aren plukken op de sabbat
42006006,Een genezing op de sabbat
42006012,De twaalf afgevaardigden
42006020,Gelukkig
42006027,Heb jullie vijanden lief
42006039,Splinter en balk
42006043,Boom en vrucht
42006046,Met of zonder fundament
42007001,Een hoofdman in Kafarnaüm
42007011,De opwekking van de jongeling in Naïn
42007018,Jezus en Johannes
42007036,Jezus door een zondares ingewreven 
42008001,Jezus verkondigt
42008004,De parabel van de zaaier
42008016,Kijk uit hoe jullie horen
42008019,Zijn moeder en Zijn broeders
42008022,Een stormwind op het meer
42008026,Een man die demonen had
42008040,De dochter van Jaïrus
42009001,De afvaardiging van de twaalf afgevaardigden
42009007,Herodus hoort wat door Jezus gebeurt
42009010,De verzadiging van de schare
42009018,Wie is Jezus – De Mensenzoon moet veel lijden
42009023,Jezelf verloochenen en achter Jezus aankomen
42009028,Een stem uit de wolk
42009037,Een ongelovige generatie
42009043,De Mensenzoon zal overgegeven worden
42009046,Wie is de grootste
42009051,Zijn aangezicht gevestigd om naar Jeruzalem te gaan
42009057,Het volgen van Jezus
42010001,De afvaardiging van de tweeënzeventig anderen
42010021,Jezus juicht en noemt gelukkig
42010025,Een Samaritaan die barmhartigheid deed
42010038,Maria en Marta
42011001,Het bidden
42011014,Het uitwerpen van demonen
42011029,Een boze generatie
42011033,De lamp van het lichaam
42011037,Wee jullie farizeeën en schriftgeleerden
42012001,Jezus spreekt tegen Zijn leerlingen
42012013,Een onverstandig rijk mens
42012022,Wees niet bezorgd
42012035,Gelukzalig wie de Heer wakend zal vinden
42012049,Deze periode toetsen
42013001,Omkomen door zonde
42013006,De vijgenboom zonder vrucht
42013010,Op de sabbat genezen
42013018,Het koninkrijk van God vergeleken
42013022,Weinigen worden gered
42013031,"Jeruzalem, dat de profeten doodt"
42014001,Een waterzuchtige genezen op de sabbat
42014007,De hoogste en laatste plaats
42014012,Nodig wie niets hebben om jou te vergelden
42014015,Houd mij voor afgeslagen
42014025,Afscheid nemen van alles wat jezelf toebehoort
42015001,Het verloren schaap en de verloren drachme
42015011,De verloren zoon
42016001,De beheerder van de onrechtvaardigheid
42016009,De onrechtvaardige Mammon
42016014,God kent jullie harten
42016019,De rijke man en de arme Lazarus
42017001,Geef acht op jezelf
42017007,Nodeloze slaven
42017011,De tien aan een huidziekte lijdenden
42017020,De dagen van de Mensenzoon
42018001,De rechter van de onrechtvaardigheid
42018009,De parabel van de farizeeër en de tollenaar
42018015,Laat de kinderen naar Mij toe komen
42018018,De uiterst rijke vorst
42018028,Achterlaten omwille van het koninkrijk van God
42018031,Omhoog naar Jeruzalem
42018035,Een blinde
42019001,Zacheüs
42019011,De parabel van de ponden
42019028,Het omhooggaan naar Jeruzalem
42019045,Het binnenkomen in de gewijde plaats
42020001,"Gesprek met de hogepriesters, schriftgeleerden en oudsten"
42020009,De parabel van de pachters van een wijngaard
42020019,Belasting betalen
42020027,De sadduceeërs en de opstanding
42020041,Zoon van David en zijn Heer
42020045,Geef acht op de schriftgeleerden
42021001,De twee kopermuntjes van een ploeterende weduwe
42021005,Het teken wanneer de dingen op het punt staan plaats te vinden
42022001,Judas spreekt samen over hoe hij Hem zou overgeven
42022007,Het Pascha eten
42022014,Wat over Jezus gaat moet volbracht worden
42022039,Getsemane
42022047,Jezus gegrepen
42022054,Petrus verloochend Jezus
42022063,Jezus weggeleid naar het sanhedrin
42023001,Jezus geleid naar Pilatus
42023008,Jezus gezonden naar Herodes
42023013,Pilatus wil Jezus laten gaan
42023026,Jezus weggeleid
42023032,De kruisiging
42023044,Jezus blaast de laatste adem uit
42023050,De grafkamer
42024001,De opwekking
42024013,De twee naar Emmaüs
42024036,Jezus staat in hun midden
43001001,Het vleesgeworden woord
43001019,Het getuigenis van Johannes – wie is hij?
43001029,Johannes getuigt over Jezus
43001035,Jezus volgen
43002001,De bruiloft in Kana
43002012,Niet veel dagen in Kafarnaüm
43002013,Jezus werpt allen uit de gewijde plaats
43003001,Nikodemus
43003022,Johannes getuigt over Jezus
43004001,De vrouw uit Samaria bij de put
43004043,Jezus gaat naar Galilea
43004046,De zoon van een koninklijk iemand
43005001,Jezus maakt gezond op de sabbat
43005019,Jezus getuigt over Zichzelf
43006001,Het vullen van een grote schare
43006015,Jezus wandelend over de zee
43006022,Het Brood van het leven
43006060,Veel leerlingen gaan terug
43006067,Het geloof van de twaalf
43007001,Zijn broeders geloven niet in Hem
43007010,Gemor onder de scharen
43007014,Jezus over Zijn onderwijs
43007025,Waarvandaan Jezus komt en waarheen Hij gaat
43007037,Levend water
43007045,Nikodemus tegen de farizeeën
43007053,De echtbreuk plegende vrouw
43008012,Het licht van de wereld
43008021,Jezus gezonden door de Vader
43008031,Vader van de Joden
43009001,Iemand die blind was vanaf zijn geboorte
43010001,De uitstekende Herder
43010022,Het feest van de inwijdingen
43010040,De andere zijde van de Jordaan
43011001,Lazarus
43011045,Een mens zou sterven voor het volk
43012001,Jezus ingewreven met kostbare pure nardus mirre
43012012,Jezus komt Jeruzalem binnen
43012020,De Mensenzoon zou verheerlijkt worden
43012037,Geloof en ongeloof
43012044,Jezus gezonden door de Vader
43013001,Jezus wast de voeten van de leerlingen
43013021,Eén zal Jezus overgeven
43013031,God en de Mensenzoon verheerlijkt
43013036,Petrus zal Jezus verloochenen
43014001,Het woonhuis van de vader
43014016,Een andere trooster
43015001,De waarachtige wijnstok
43015009,Het gebod van Jezus
43015018,De haat van de wereld
43016001,Niet verstrikt worden
43016004,De trooster toont aan verkeerd te zitten
43016016,Een korte tijd
43017001,Jezus spreekt tot de Vader
43018001,In de tuin
43018012,Jezus naar Annas geleid en verloochend door Petrus
43018028,Pilatus
43018038,Niet deze maar Barabbas
43019001,Kruisig hem!
43019016,De kruisiging
43019028,Jezus geeft de geest over
43019038,De grafkamer
43020001,De opstanding uit de doden
43020019,Jezus staat in het midden
43020024,Tomas
43020030,Opdat jullie geloven dat Christus de Gezalfde is
43021001,Jezus maakt Zichzelf openbaar aan de Zee van Tiberias
43021015,Simon Petrus en Jezus
43021024,Het getuigenis van deze leerling
44001001,Jezus wordt opgeheven
44001012,Eén gekozen als afgevaardigde
44002001,Pinksteren
44002012,Afkondiging van Petrus
44002041,De gemeenschap
44003001,Een lamme man wandelt
44003011,Petrus antwoordt het volk
44004001,Petrus en Johannes voor het sanhedrin
44004032,Alles was van hen gemeenschappelijk
44005001,Ananias en Safira
44005012,Tekens en wonderen
44005017,De afgevaardigden in publieke bewaring gesteld
44005021,De mannen voor het sanhedrin
44005033,Gamaliël
44006001,Het uitkiezen van zeven getuigen - Stefanus
44007001,Stefanus' verklaring
44007054,Stefanus gestenigd
44008004,Filippus in Samaria
44008009,Simon die zwarte kunst bedreef
44008026,De eunuch uit Ethiopië
44009001,Saulus hoort de stem van Jezus
44009019,Saulus instrueert de Joden dat Jezus de Gezalfde is
44009026,Saulus probeert zich aan te sluiten bij de leerlingen
44009032,Eneas en Dorkas
44010001,Cornelius
44011001,Petrus zet uiteen voor hen uit de besnijdenis
44011019,Saulus en Barnabas naar Antiochië
44012001,Jakobus omgebracht en Petrus bewaard in de gevangenis
44012020,Herodes wordt ontzield
44012024,Barnabas en Saulus afgezonderd
44013013,Gearriveerd in Antiochië in Pisidië
44013049,"Gekomen in Ikonium, Lystra en Derbe"
44014019,Terug naar Antiochië
44015001,Moeten de natiën besneden worden en de wet van Mozes bewaren?
44015022,De brief aan de broeders in Antiochië en Syrië en Cilicië
44015036,Paulus en Barnabas wijken van elkaar
44016004,De oversteek naar Macedonië
44016019,De gevangenbewaarder van Filippi
44017001,Paulus in Tessalonica en Berea
44017015,Paulus in Athene
44018001,Paulus in Korinte
44018018,Naar Syrië
44018024,Apollos
44019001,Paulus in Efeze
44019013,De zonen van Skevas
44019021,Demetrius de zilversmid
44020001,Naar Macedonië en Troas
44020013,Paulus tot de oudsten van Efeze in Milete
44021001,Paulus in Tyrus en Caeserea
44021015,In Jeruzalem
44021027,Paulus gebonden
44021040,Paulus roept het volk toe
44022022,In het kamp
44022030,In het sanhedrin
44023012,Een samenzwering van de Joden
44023022,Paulus gered naar Caeserea
44024001,Paulus voor Felix
44025001,Paulus voor Festus
44025013,Paulus voor Agrippa
44026001,Paulus verdedigt zich voor Agrippa
44027001,Paulus naar Italië
44027014,De schipbreuk
44028001,Paulus op Malta
44028014,Paulus in Rome
45001008,Paulus verlangt ernaar hen te zien
45001014,Het evangelie
45001018,Gods toorn over de mensen die de waarheid neerhouden
45002001,Het rechtvaardig oordeel van God
45002012,De Joden geen daders van de wet
45003001,Het buitengewone van de Jood en de trouw van God
45003009,Allen zijn onder de zonde
45003021,"De rechtvaardigheid van God, los van de wet"
45004001,Abraham gerechtvaardigd uit geloof
45005001,Door onze Heer Jezus Christus
45005012,Adam en Christus - alle mensen gerechtvaardigd
45006001,Gestorven en opgewekt met Christus
45006015,Slaaf van de zonde of van de rechtvaardigheid
45007001,De wet en zonde
45007013,Vleselijk en geestelijk
45008001,Niet wandelen naar het vlees maar naar de geest
45008018,Zuchten en reikhalzend uitkijken
45008031,Niets kan ons scheiden van de liefde van God
45009001,Israël - God ontfermt en verhardt wie Hij wil
45009030,"Gerechtigheid uit geloof, niet de wet"
45010016,Een weerspannig en tegensprekend volk
45011001,God stoot zijn volk niet van Zich af
45011011,"De misstap van Israël, de redding voor de natiën"
45011025,"Israël voor een deel vereelt, totdat"
45012001,Je lichaam presenteren als offer
45012009,De liefde - overwin met het goede het kwade
45013001,Onderschikking aan de autoriteiten
45013008,Elkaar liefhebben en fatsoenlijk wandelen
45014001,Elkaar niet meer oordelen
45014014,Geen aanstoot geven
45015001,Neem elkaar tot je
45015014,Ambtsdrager van Christus Jezus
45016001,Groeten
45016017,Merk op
45016021,Groeten - heerlijkheid aan God
46001004,Ik dank mijn God
46001010,Splitsingen en twisten
46001018,Wijsheid van de wereld of van God
46002006,Gods wijsheid
46003001,Nog vleselijk
46003010,Toezien hoe je bouwt op het fundament
46004001,Die mij beoordeelt is de Heer
46004006,Niet opgeblazen zijn
46005001,Ontucht onder de Korintiërs
46006001,Geoordeeld worden door onrechtvaardigen
46006012,"Alles is geoorloofd, niet alles bevorderlijk"
46007001,Man en vrouw
46007010,"Blijven, huwen of laten gaan"
46008001,Het eten van afgodenoffers
46009001,Het recht van afgevaardigden
46009016,Paulus’ roem in het verkondigen van het evangelie
46010001,Het volk als voorbeeld
46010014,De beker en het brood
46010023,Word niet aanstootgevend
46011002,Het hoofd sluieren
46011017,De hoofdmaaltijd van de heer
46012001,"Veel genadegaven, dezelfde geest"
46012012,"Veel leden, één lichaam"
46013001,De liefde
46014001,In een taal spreken en profeteren
46014026,Laat alles fatsoenlijk en ordelijk gebeuren
46015001,Christus gestorven en opgewekt
46015012,Opstanding van doden
46015035,Met welk lichaam worden de doden opgewekt?
46015050,De laatste bazuin
46016001,Collecte
46016005,"Het naar hen toe komen van Paulus, Timoteüs en Apollos"
46016013,Paulus spreekt hen aan
46016019,Groeten
47001003,Gezegend zij God
47001012,Paulus niet meer naar Korinte gekomen - lichtvaardig handelen?
47002014,Het woord van God spreken
47003001,De letter en de geest
47004007,Deze schat in aarden vaten
47004016,Daarom zijn wij niet ontmoedigd
47005011,Door Christus verzoend met God
47006001,Dienaren van God
47006014,Geen ongelijk juk met ongelovigen
47007002,De Korintiërs in hun harten
47008001,De dienst voor de heiligen
47010001,In of naar het vlees wandelen
47010013,Laat hij in de Heer roemen
47011001,Valse afgevaardigden
47011029,Roemen in zwakheden
47012014,Paulus gereed naar hen toe te komen
47013005,Aansprekingen en groeten
48001006,Een andersoortig evangelie
48001010,Paulus’ evangelie is niet naar de mens
48002001,"Jakobus, Kefas en Johannes gaven Paulus en Barnabas de rechterhand"
48002011,Paulus weerstond Kefas
48002015,Een mens niet gerechtvaardigd uit werken van de wet
48003001,Het geloof en de wet
48004012,Paulus heeft weer weeën om de Galaten
48004021,Slavernij of vrijheid
48005013,Vlees of geest
48006011,Het kruis van Christus
49001003,Geestelijke zegen
49001015,Dank en gebed
49002001,Door genade gered
49002011,Eén in Christus
49003001,De geheimenis van Christus
49003014,De liefde van Christus
49004001,De eenheid van de geest
49004007,Het toerusten van de heiligen tot dienstwerk
49004017,De nieuwe mensheid
49005001,Navolgers van God
49006010,Standhouden
49006021,Paulus zendt Tychikus
50001003,Dank en gebed
50001012,Paulus’ boeien in Christus
50001027,Hetzelfde gezind zijn - de gezindheid van Christus
50002019,Timoteüs en Epafroditus
50003001,Alles om Christus te winnen
50003017,Gezamenlijk navolgers van Paulus
50004001,Sta vast in de Heer
50004010,Gave en vrucht
50004021,Groeten
51001003,Dank en gebed
51001015,Christus in alles de eerste - alles geheel verzoend met God
51001021,Paulus’ lijden als dienaar - de geheimenis: Christus
51002006,Gezamenlijk met Christus begraven en opgewekt
51003005,De jonge mens aandoen
51004007,Paulus heeft Tychikus gezonden - groeten
52001002,Dank en gebed - Tessalonicenzen zijn navolgers geworden
52002013,Navolgers in lijden
52003001,Timoteüs brengt een goede boodschap
52004001,Overvloeien in wandelen zoals opgedragen - heiliging
52004013,De ontmoeting met de Heer in de lucht
52005001,Waken en nuchter zijn
52005012,Aansprekingen - groeten
53001003,Dank en gebed
53002001,De aanwezigheid van onze Heer Jezus Christus
53003001,"Bidden, wandelen zoals opgedragen, werken"
53003016,Groet
54001003,De opdracht aan Timoteüs
54002001,Aansprekingen
54003001,De opzieners en dienaren
54004001,Blijf bij de onderwijzing
54005001,De weduwen
54005017,De oudsten - deze dingen bewaken
54006002,Rijk zijn in dit tijdperk
55001003,Bewaak het ideale toevertrouwde
55002001,Lijd samen kwaad
55002014,Het woord van de waarheid recht snijden
55003001,De laatste dagen
55003014,De gezonde onderwijzing
55004009,Laatste aanwijzingen - groeten
56001005,Titus in Kreta
56002001,"Verstandig, rechtvaardig en godvruchtig leven"
56003012,Laatste aanwijzingen - groeten
57001004,Dank
57001008,Onesimus
57001021,Laatste aanwijzingen - groeten
58001001,De Zoon zoveel beter dan de boodschappers
58002005,Jezus korte tijd minder dan de boodschappers
58003001,Meer heerlijkheid dan Mozes
58003007,Ingeval jullie Zijn stem zouden horen
58004014,Jezus de grote Hogepriester
58005011,Van onmondig naar volwassen
58006009,Vasthouden aan de voor ons liggende hoop
58007001,Jezus priester voor het tijdperk
58008001,Het eerste verbond en het nieuwe verbond
58010019,Volharding
58011001,Geloof
58012001,Volharding en disciplinering
58012014,Aansprekingen - groeten
59001002,Aanvechtingen en geloof
59001019,Daders en niet alleen luisteraars
59002001,Niet in aanzien des persoons
59002014,Geloof en werken
59003001,Niet struikelen in woord
59004001,De vriendschap van deze wereld is vijandschap met God
59004011,Oordeel de naaste niet
59004013,Niet bekend met wat er morgen is
59005001,Vergaren in de laatste dagen
59005007,Geduld en volharding
59005012,Eed en gebed
60001003,De redding
60001013,Word heilig en heb elkaar lief
60002001,De uiterste hoeksteen
60002011,Aansprekingen
60003013,Lijden in de voltooiing
60005001,Aansprekingen en groeten
61001012,Herinneren aan de waarheid - het profetische woord
61002001,Valse leraren
61003001,Het laatste van de dagen en de dag van de Heer
62001001,Het woord van het leven
62001005,Licht en duisternis - wandelen als Jezus Christus
62002018,De antichrist
62002028,Kinderen van God
62003010,Elkaar liefhebben
62004001,"Uit God zijn en in Hem blijven - belijden, liefhebben, geloven"
62005013,Vrijmoedigheid en zonde - bewaak jezelf
63001004,Elkaar liefhebben - belijden dat Jezus Christus kwam in het vlees
63001009,Blijven in het onderwijs
64001002,Gajus
64001009,Diotrefes en Demetrius
65001003,Oneerbiedigen die losbandigheid brengen en Jezus Christus loochenen
65001017,Bewaar jezelf
66001004,Aan de zeven gemeenten
66002001,Aan Efeze
66002008,Aan Smyrna
66002012,Aan Pergamum
66002018,Aan Tyatira
66003001,Aan Sardes
66003007,Filadelfia
66003019,Aan Laodicea
66004001,De vierentwintig oudsten en de vier dieren
66005001,De verzegelde boekrol en het Lammetje
66006001,Het eerste tot het zesde zegel
66007001,De verzegelden uit Israël
66007009,Een grote schare uit alle stammen en volken en talen
66008001,Het zevende zegel
66008006,De eerste tot de zesde bazuin
66010001,Het geopende boekrolletje
66011001,De twee getuigen
66011015,De zevende bazuin
66012001,"De vrouw, de mannelijke zoon en de draak"
66013001,Het wilde beest uit de zee
66013009,Het wilde beest uit de aarde
66014001,Het Lammetje en zij die gekocht zijn vanuit de aarde
66014006,Het uur van Zijn oordelen
66014014,De oogst van de aarde
66015001,De zeven slagen en de zeven schalen
66017001,Het oordeel en de val van Babylon
66019011,Trouw en Waarachtig - het Woord van God
66019017,Het wilde beest en de valse profeet in het meer van vuur geworpen
66020001,De duizend jaar - de eerste opstanding
66020007,Gog en Magog - de tegenwerker in het meer van vuur en zwavel geworpen
66020011,"De grote witte troon - het meer van vuur, de tweede dood"
66021001,Een nieuwe hemel en nieuwe aarde
66021009,De heilige stad Jeruzalem afdalend uit de hemel
66022006,Deze woorden - laatste aanwijzingen
