id,parsing,num,syntax,vertaling,kort,opmerking
1,V-NIAP,0,NULL,_ENDE,"met een (onvoltooid) deelwoord, zonder 'ZIJNDE' erachter","Al geeft -ZIJNDE het voortgaande karakter van de handeling juist weer, in de vertaling moet dit worden weggelaten, en wordt het Nederlandse (onvoltooide) deelwoord weergegeven."
2,V-NIAP,1,NULL,_,als een gewone tegenwoordige tijd,"Het Grieks gebruikt het deelwoord veel vaker dan in het Nederlands mogelijk is, zodat het geregeld met een simpele tegenwoordige tijd vertaald moet worden."
3,D,0,{role:io},aan,aan,"De 3e naamval (datief) geeft in de kern antwoord op de vraag: 'waar', en wordt zo vaak gebruikt om het meewerkend voorwerp uit te drukken, wat meestal vertaald wordt met 'aan'."
4,D,2,{role:io},voor,voor,"Soms drukt het meewerkend voorwerp uit dat iets 'voor' iemand is of gedaan wordt, en dan wordt dit met 'voor' vertaald"
5,A,0,NULL,NULL,NULL,"De 4e naamval (accusatief) geeft in de kern antwoord op de vraag: 'waar heen', en geeft zo gewoonlijk het lijdend voorwerp aan, en hoeft niet vertaald te worden in het Nederlands; woordvolgorde geeft meestal genoeg duidelijkheid."
6,G,0,NULL,van,van,"De 2e naamval (genitief) geeft in de kern antwoord op de vraag: 'waar vandaan', en wijst zodoende naar de oorsprong. Daarom is het vaak gebruikt om bezit aan te duiden, en past in het Nederlands het beste de vertaling 'van'."
7,G,1,{na:PREP|ADV},NULL,NULL,"De 2e naamval geeft in de kern antwoord op de vraag: 'waar vandaan'. Verschillende Griekse preposities en partikels geven antwoord op deze vraag en gaan daardoor samen met de 2e naamval: de woorden direct na zo'n voorzetsel hebben die naamval. In het Nederlands hoeft de naamval daardoor niet extra met 'van' vertaald te worden, het voorzetsel geeft al antwoord op de vraag 'waar vandaan'."
8,N,0,NULL,NULL,NULL,"De 1e naamval, de nominatief, geeft in de kern antwoord op de vraag: 'wie', en geeft zo meestal het onderwerp aan. In het Nederlands hoeft de naamval daarom niet apart vertaald te worden."
9,D,1,{na:PREP},"-, met","-, met","De 3e naamval geeft in de kern antwoord op de vraag: 'waar'. Verschillende Griekse preposities geven antwoord op deze vraag en gaan daardoor samen met de 3e naamval: de woorden direct na zo'n voorzetsel hebben die naamval. In het Nederlands hoeft de naamval daardoor meestal niet extra met 'aan' vertaald te worden, het voorzetsel geeft al antwoord op de vraag 'waar'. Alleen bij de prepositie 'tezamen' wordt de naamval vertaald als 'met'."
10,A,1,{na:PREP},NULL,NULL,"De 4e naamval geeft in de kern antwoord op de vraag: 'waarheen'. Verschillende Griekse preposities geven antwoord op deze vraag en gaan daardoor samen met de 4e naamval: de woorden direct na zo'n voorzetsel hebben die naamval. Evenals bij het gebruik van de naamval om een lijdend voorwerp aan te geven, hoeft het hier niet met een extra woord in het Nederlands vertaald te worden."
11,V-NNAP,0,NULL,_END,als een deelwoord,"Als in het Nederlands ook het deelwoord gebruikt kan worden, zal het participium zo vertaald worden."
12,V-NNAP,1,{context:narratief},_DE,als een gewone verleden tijd,"Als in het Nederlands het beter past in plaats van het deelwoord een gewoon werkwoord te gebruiken, en de context een verhaal in de verleden tijd vertelt, dan wordt het deelwoord weergegeven als een simpele verleden tijd."
13,V-NNAP,2,{context:feit},_,als een gewone tegenwoordige tijd,"Als in het Nederlands het beter past in plaats van het deelwoord een gewoon werkwoord te gebruiken, en het woord in de context een algemeen feit weergeeft, dan wordt het deelwoord weergegeven als een simpele tegenwoordige tijd."
14,V-FIMS,0,{na:COND|*dat},_^c,"als een tegenwoordige tijd met een verhoogde ""c""","Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', dan past het beter in het Nederlands om niet alsnog de conjunctief weer te geven met 'dat' of 'zal/zou', maar met een eenvoudige tegenwoordige tijd, een een verhoogde c om aan te geven dat het een conjunctief betreft."
15,V-RIAI,0,NULL,_,als een gewone tegenwoordige tijd,"Al geeft deze Griekse vorm een voortgaande handeling weer, laat dit zich moeilijk overzetten in het Nederlands als 'ik ben lopende', omdat die manier van uitdrukking niet meer zo in het Nederlands gebruikt wordt. Meestal vertalen we daarom de vorm met een simpele tegenwoordige tijd."
16,V-RIMI,0,{context:!passief},IK-_,als een gewone tegenwoordige tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het best een gewone tegenwoordige tijd."
17,V-RIMI,1,{context:passief},IK-WORD-GE_D/IK-LAAT-ME-_,als een passieve tegenwoordige tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling op het onderwerp wordt uitgevoerd (passief), dan past het best een passieve vertaling als 'ik word gelopen' of 'ik laat me lopen'."
18,V-NNAN,0,NULL,_EN,NULL,Vaak kan de aorist infinitief gewoon worden vertaald met een simpele infinitief.
19,D,3,{role:io},"-, voor, tot, tegen, met","-, voor, tot, tegen, met","Geregeld, als de 3e naamval wordt gebruikt om een meewerkend voorwerp aan te geven, wordt het in het Nederlands toch niet met 'aan' vertaald. Dit is afhankelijk van het vertaalwoord. Sommige woorden in het Nederlands gaan goed samen met 'aan', anderen vereisen woorden als 'voor', 'tot' of gebruiken juist geen extra woord om het meewerkend voorwerp uit te drukken."
20,V-FIMS,1,NULL,ZOUDEN-_,met het hulpwerkwoord 'zouden',"Om het onzekere karakter van de conjunctief weer te geven, kan in de vertaling vaak het hulpwerkwoord 'zouden' gebruikt worden."
21,V-NNMI,0,{context:!passief},IK-_,als een gewone tegenwoordige tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het best een gewone tegenwoordige tijd."
22,V-RIAM,0,NULL,LAAT-HIJ-_,zonder het achtervoegsel 'ENDE',"Al geeft -ENDE goed het voortgaande karakter van de handeling weer, in het Nederlands kunnen we dit niet zo vertalen."
23,V-RIAM,1,NULL,ZIJ-HIJ-_,als 'zij hij',"Als met de imperatief een sterke wens wordt uitgedrukt, is 'laat hij' een te vrijblijvende vertaling, en is 'zij hij' sterker."
24,V-RCAI,0,NULL,IK-HEB-GE_D,NULL,NULL
25,V-NNAI,0,{context:feit},IK-_,NULL,"Als de aorist gebruikt wordt om een algemene waarheid te weer te geven, kunnen we dit het best vertalen met een simpele tegenwoordige tijd."
26,V-NNAI,1,{context:narratief},IK-_DE,als een gewone verleden tijd,"Omdat de aorist een handeling in zijn geheel weergeeft, met eventueel begin en eind van de handeling, krijg je, als je meerdere aoristen achter elkaar zet, het idee van opeenvolgende handelingen: een verhaallijn. Als dat verhaal in het verleden afspeelt, past in het Nederlands een verleden tijd het beste."
27,D,4,{role:o},NULL,NULL,"De 3e naamval wordt bij sommige werkwoorden gebruikt om juist het lijdend voorwerp aan te geven, en wordt dan, net als de 4e naamval die vaak deze functie vervuld, in het Nederlands onvertaald gelaten."
28,V-NIAN,0,NULL,_EN,als een gewone onbepaalde wijs,"Al geeft ENDE-te-ZIJN goed het voortgaande karakter weer, dit kan in het Nederlands niet zo vertaald worden. Daarom wordt het meestal met een eenvoudige infinitief vertaald."
29,V-PNAI,0,NULL,IK-_DE,NULL,NULL
30,V-PNAI,1,NULL,(zou) IK-_,als een gewone tegenwoordige tijd,"Gecombineerd met 'ook maar', wordt in het Grieks een uitdrukking gevormd die in het Nederlands beter met '(zou) ik' en een tegenwoordige tijd uitgedrukt kan worden."
31,V-PNPI,0,NULL,IK-WERD-GE_D,NULL,NULL
32,G,2,{woord:zsnw|pvnw},NULL,NULL,"Bij zelstandige of persoonlijke voornaamwoorden past het in het Nederlands soms beter om bijv. 'mijn' in plaats van 'van mij' te vertalen. Dan wordt de naamval dus niet weergegeven met een los woord, maar zit het in het persoonlijk voornaamwoord. Bij zelfstandige naamwoorden kan de bezitsrelatie ook met -s vertaald worden, 'Gods' i.p.v. 'van God'."
33,V-NIAP,2,{context:vt},_DE,als een gewone verleden tijd,"Het Grieks gebruikt het deelwoord veel vaker dan in het Nederlands mogelijk is, en als de context dan in de verleden tijd is geplaatst, dan kan de vorm beter met een simpele verleden tijd vertaald worden."
34,G,3,NULL,"-, voor, onder, bij, met, aan","-, voor, onder, bij, met","In het Grieks is het soms normaal om met de 2e naamval een relatie tussen twee woorden uit te drukken, terwijl het in het Nederlands dan niet gebruikelijk is om deze relatie met 'van' uit te drukken, maar met andere woorden als 'voor', of zelfs zonder extra woord."
35,V-RIMS,0,{na:COND|*dat},_^c,"als een gewone tegenwoordige tijd met een verhogode ""c""","Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', dan past het beter in het Nederlands om niet alsnog de conjunctief weer te geven met 'dat' of 'zal/zou', maar met een eenvoudige tegenwoordige tijd, een een verhoogde c om aan te geven dat het een conjunctief betreft."
36,V-NNMI,1,{context:!passief&narratief},IK-_DE,als een gewone verleden tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), en in de context een verhaal in het verleden wordt verteld, dan past het best een gewone verleden tijd."
37,V-FNMM,0,NULL,_,als een gewone gebiedende wijs,"In het Nederlands past het -je! gedeelte vaak niet, en wordt dan weggelaten in de vertaling."
38,V-NIMP,0,NULL,_ENDE,"met een (onvoltooid) deelwoord, zonder 'ZIJNDE'","Al geeft -ZIJNDE het voortgaande karakter van de handeling juist weer, in de vertaling moet dit worden weggelaten. Als uit de context duidelijk is dat de handeling niet passief is, op de handeling wordt uitgevoerd, dan wordt het Nederlandse (onvoltooide) deelwoord weergegeven."
39,V-NIMP,1,{role:adv|pc},_,als een bijvoeglijk naamwoord,"Soms gebruikt het Grieks het deelwoord als bijvoeglijk naamwoord bij een zelfstandig naamwoord, dan wordt het in het Nederlands ook niet als werkwoord vertaald."
40,D,5,NULL,"-, van","-, van","In het Grieks is het soms normaal om met de 3e naamval een relatie tussen twee woorden uit te drukken, terwijl het in het Nederlands dan niet gebruikelijk is om deze relatie met 'aan' uit te drukken, maar met andere woorden als 'van', of zelfs zonder extra woord."
41,V-RIAS,0,{na:COND|*dat},_^c,"als een gewone tegenwoordige tijd, met een verhoogde ""c""","Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', dan past het beter in het Nederlands om niet alsnog de conjunctief weer te geven met 'dat' of 'zal/zou', maar met een eenvoudige tegenwoordige tijd, een een verhoogde c om aan te geven dat het een conjunctief betreft."
42,V-RIAS,1,NULL,ZOUDEN-_,met het hulpwerkwoord 'zouden',"Om het onzekere karakter van de conjunctief weer te geven, kan in de vertaling vaak het hulpwerkwoord 'zouden' gebruikt worden."
43,V-NNPI,0,NULL,IK-WORD-GE_D,NULL,NULL
44,V-NNPI,1,{context:narratief},IK-WERD-GE_D,als een passieve verleden tijd,"Als de context een verhaal in de verleden tijd vertelt, dan wordt deze vorm in het Nederlands beter weergegeven in de verleden tijd."
45,V-NNPN,0,NULL,GE_D-WORDEN,NULL,NULL
46,V-NNAN,1,{functieClause:sub},OM-TE-_EN,met de toevoeging 'om te',"Als de infinitief wordt gebruikt om in een bijzin de reden of het doel van de handeling in de hoofdzin aan te geven, voegen we in het Nederlands 'om' toe."
47,V-FIAI,0,NULL,IK-ZAL-_EN,zonder de achtervoegsels 'ENDE-ZIJN',"Al geeft -ENDE-ZIJN het voortgaande karakter van de handeling goed weer, dit kan niet zo vertaald worden. In het Nederlands past een infinitief met 'zal' voor de toekomende tijd beter."
48,V-FIAI,1,{ipv:conjunctief},(OM)-TE-_EN,"in de onbepaalde wijs, al dan niet met de toevoeging 'om te'","Als het futurum wordt gebruikt om een reden of doel aan te geven, past het in het Nederlands beter om de vorm als infinitief te vertalen, om zo een doel/reden uit te drukken."
49,V-NNAI,2,{context:afgerond},IK-HEB-GE_D,als een voltooid tegenwoordige tijd,"Als de context er duidelijk op wijst dat de handeling afgerond moet zijn, dan past het soms in het Nederlands beter het te vertalen met een voltooide tegenwoordige tijd."
50,V-NIAP,3,NULL,_,als een zelfstandig naamwoord,"In combinatie met een lidwoord of het werkwoord 'zijn', wordt in het Grieks het deelwoord ook vaak gebruikt als een zelfstandig naamwoord, en dient dan in het Nederlands ook zo vertaald te worden."
51,V-RCMI,0,{context:!passief},IK-HEB-GE_D,als een voltooid tegenwoordige tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het best een voltooid tegenwoordige tijd."
52,V-RCMI,1,{context:passief},IK-WORD-GE_D/MIJ-WAS-GE_D,als een passieve tegenwoordige tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling op het onderwerp wordt uitgevoerd (passief), dan past het best een passieve vertaling als 'ik word gelopen' of 'mij was toevertrouwd'."
53,D,6,{role:adv},"in, met, door, van, voor","in, met, door, van, voor","De 3e naamval, die in de kern antwoord geeft op de vraag 'waar', wordt niet alleen gebruikt om het meewerkend of lijdend voorwerp aan te geven van het gezegde, soms geeft het extra informatie over de handeling, zoals waar die heeft plaatsgevonden, met wie of welke middelen, door wat of wie, en wordt dan in het Nederlands vertaald met 'in', 'met' of 'door', of zelfs niet vertaald."
54,V-NIPP,0,NULL,GE_D-WORDENDE,NULL,NULL
55,V-NIPP,1,NULL,GE_D-WORD/IS,als een passieve tegenwoordige tijd,"In het Grieks wordt het deelwoord veel vaker gebruikt dan in het Nederlands mogelijk is, dus geregeld wordt dan een gewoon werkwoord gebruikt om het Grieks te vertalen."
56,V-NCMP,0,NULL,GE_D-HEBBEND,NULL,NULL
57,V-NCMP,1,NULL,_,als een zelfstandig naamwoord,Gecombineerd met een lidwoord of het werkwoord 'zijn' wordt in het Grieks het deelwoord regelmatig als zelfstandig naamwoord gebruikt. Zo vertalen we het dan ook in het Nederlands.
58,V-NNPI,2,"{woordsoort:!passief,context:narratief}",IK-_DE,als een gewone verleden tijd,"Sommige werkwoorden komen in het Grieks van het Nieuwe Testament alleen in het passivum voor, maar hebben geen echte passieve betekenis, en moeten in het Nederlands als actief worden vertaald. Als dan het werkwoord voorkomt in een verhaal in de verleden tijd, dan kan deze vorm het best met een gewone verleden tijd vertaald worden."
60,V-NCAP,0,NULL,GE_D-HEBBEND,NULL,NULL
61,V-NCAP,1,NULL,_,als een tegenwoordige tijd,"Een enkele keer vertalen we een Grieks woord in deze vorm met een Nederlands woord, dat niet als voltooid deelwoord weergegeven hoeft te worden door de keuze van het vertaalwoord, bijvoorbeeld 'waargenomen hebbend' vertaald met 'weten'."
62,V-RIPS,0,{na:COND|*dat},IK-WORD-GE_D^c,"als een passieve tegenwoordige tijd, met een verhoogde ""c""","Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', dan past het beter in het Nederlands om niet alsnog de conjunctief weer te geven met 'dat' of 'zal/zou', maar met een passieve tegenwoordige tijd, en een verhoogde c om aan te geven dat het een conjunctief betreft."
63,V-FIAS,0,{na:COND|*dat},IK-ZAL-_EN^c,"als een toekomende tijd, met een verhoogde ""c""","Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', dan past het beter in het Nederlands om niet alsnog de conjunctief weer te geven met 'dat'. Als de context wijst op een toekomende tijd, dan kan de conjunctief met 'zal' vertaald worden."
64,V-FIAS,1,"{na:COND|*dat,tijd:!toekomend}",IK-_^c,"als een tegenwoordige tijd, met een verhoogde ""c""","Als al een woord vooraf gaat dat een conditie aangeeft, zoals 'als', of een woord waarin al 'dat' zit, zoals 'zodat' of 'opdat', en de context niet in de toekomende maar tegenwoordige tijd afspeelt, dan past het beter in het Nederlands om niet alsnog de conjunctief weer te geven met 'dat' of 'zal/zou', maar met een eenvoudige tegenwoordige tijd, een een verhoogde c om aan te geven dat het een conjunctief betreft."
65,V-NCMP,2,{als:nw},GE_D,als een bijvoeglijk of zelfstandig naamwoord,"In het Grieks wordt het deelwoord ook geregeld als bijvoeglijk of zelfstandig naamwoord gebruikt, en wordt dan in het Nederlands vertaald zonder het '-hebbende' achtervoegsel."
66,V-NNMP,0,NULL,_ENDE,NULL,NULL
67,V-RIAM,2,NULL,_,als een gewone gebiedende wijs,"In het Nederlands is het gebruik van 'wees', 'laat' of 'zij' in imperatieven bijna geheel verdwenen, en vaak past het dus beter in het Nederlands een eenvoudige imperatief te vertalen."
68,V-FIPI,0,NULL,IK-ZAL-GE_D-WORDEN,NULL,NULL
69,V-FIMI,0,NULL,IK-ZAL-_,als een gewone toekomende tijd,"Al geeft -ENDE-ZIJN het voortgaande karakter van de handeling goed weer, in het Nederlands kan past dit niet, en vertalen we meestal met een gewone toekomende tijd."
70,V-NIPP,2,NULL,GE_D,zonder het achtervoegsel 'WORDENDE',"In het Grieks wordt het deelwoord ook vaak bijwoordelijk of als bijvoeglijk of zelfstandig naamwoord gebruikt, en wordt dan in het Nederlands ook zo vertaald, zonder het '-WORDENDE' achtervoegsel."
71,V-NIMP,2,{context:!passief&vt},_DE,als een gewone verleden tijd,"Het Grieks gebruikt het deelwoord veel vaker dan in het Nederlands mogelijk is, en als de context dan in de verleden tijd is geplaatst en de handeling niet passief is, dan kan de vorm beter met een simpele verleden tijd vertaald worden."
72,V-PNMI,0,{context:!passief},IK-_DE,als een gewone verleden tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling niet op het onderwerp wordt uitgevoerd (passief), dan past het best een gewone verleden tijd."
73,V-PNMI,1,{context:passief},IK-WERD-GE_D,als een passieve tegenwoordige tijd,"Omdat het Nederlands geen mediaal kent, alleen actief en passief, moet uit de context worden opgemaakt wat er bedoelt wordt. Als duidelijk is dat de handeling op het onderwerp wordt uitgevoerd (passief), dan past het best een passieve vertaling als 'ik werd gelopen'."
74,V-NNAN,2,{context:narratief},_DE,als een gewone verleden tijd,"In het Grieks wordt soms de infinitief op zo'n manier gebruikt, dat het in het Nederlands beter met een gewoon werkwoord vertaald kan worden. Als dan de context in de verleden tijd staat, dan kan de infinitief beter met een simpele verleden tijd vertaald worden."
75,G,4,{clauserole:adj},"-, met, vanwege","-, met, vanwege","In het Grieks worden bijzinnen met een deelwoord in de genitief vaak gebruikt om achtergrond informatie te geven bij de rest van de zin, wat er tegelijkertijd gebeurde. Hoe dit precies vertaald wordt, kan per vers verschillen."
76,G,5,{context:vergelijking},dan,dan,"De 2e naamval in het Grieks wordt ook geregeld gebruikt in een vergelijking, en kan dan vaak vertaald worden met 'dan'"
77,V-NCMP,3,NULL,GE_D,zonder het achtervoegsel 'HEBBENDE',"Afhankelijk van het vertaalwoord, past het in het Nederlands soms niet om -HEBBEND te vertalen, en wordt dit weggelaten."
78,V-NCAP,2,{context:vt},GE_D-HADDEN,als een voltooid verleden tijd,"Als het werkwoord in een context wordt gebruikt die duidelijk verleden tijd is, dan past het in het Nederlands beter om een voltooid verleden tijd te vertalen."
79,V-NIMM,0,NULL,_,als een gewone gebiedende wijs,"In het Nederlands is het gebruik van 'wees', 'laat' of 'zij' in imperatieven bijna geheel verdwenen. De uitgang -ENDE geeft wel mooi het voortgaande karakter van de handeling weer, maar kan als zodanig ook niet vertaald worden. Vaak past het dus beter in het Nederlands een eenvoudige imperatief te vertalen."
80,G,6,{role:o},-,NULL,Bij enkele werkwoorden gebruikt het Grieks niet de 4e maar 2e naamval om het lijdend voorwerp aan te duiden. Dan hieft er in de tekst geen 'van' te staan.
